"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A15168156","31335121.47","2018","1081800","GONZALEZ IGLESIAS, PILAR","4221 - Construcción de redes para fluidos","CALLE VIA DE EDISON, 60 - 62","espina@espina.es","370","[981586688]","1989-07-04","2018-12-31","SOCIEDAD ANONIMA","15890 SANTIAGO DE COMPOSTELA (La Coruña)","ESPINA OBRAS HIDRAULICAS SA","['ESPINA OBRAS HIDRAULICAS, SOCIEDAD ANONIMA']","Activa","[981552610, 981586688]","['www.espina.es']","mediana"
"A17050063","7774522.56","2018","60110","CAT MASSAGUER, NARCIS","4321 - Instalaciones eléctricas","CALLE POETA RUYRA, 6","iecat@iecat.es","87","[972865255]","1981-03-13","2018-12-31","SOCIEDAD ANONIMA","17450 HOSTALRIC (Gerona)","INSTALACIONES ELECTRICAS CAT SOCIEDAD ANONIMA","Desconocido","Activa","[972864477, 972864635]","['www.iecat.es']","mediana"
"A18036509","13457803.44","2017","3979300","MANRIQUE CARRASCO, DANIEL FRANCISCO","4211 - Construcción de carreteras y autopistas","CALLE SAN ANTON, 72 - PLT 6ª, OFICINAS 5, 6 Y 7 ED REAL CENTER","administracion@hormacesa.com","43","[958266591]","1983-12-14","2017-12-31","SOCIEDAD ANONIMA","18005 GRANADA (Granada)","HORMIGONES ASFALTICOS ANDALUCES SA","Desconocido","Activa","[958257416, 958266591]","['www.hormacesa.com']","pequeña"
"A19005792","1555893.72","2018","60110","OSES REGUERA, ENCARNACION","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE LA INFORMATICA, 1","info@fybsa.com","12","Desconocido","1977-04-18","2018-12-31","SOCIEDAD ANONIMA","19200 AZUQUECA DE HENARES (Guadalajara)","CONSTRUCCIONES F Y B SA","Desconocido","Activa","[949264019]","Desconocido","pequeña"
"A20070322","2849915.23","2018","60200","ALDALUR ALBERDI, MIKEL","4121 - Construcción de edificios residenciales","CALLE UROLA, 6","info@urbitarte.com","10","[943150226]","1979-07-16","2018-12-31","SOCIEDAD ANONIMA","20730 AZPEITIA (Gipuzkoa)","CONSTRUCCIONES URBITARTE SA","Desconocido","Activa","[943814750]","['www.urbitarte.com']","pequeña"
"A20080669","38972000","2018","1520337","OBRASCON HUARTE LAIN SA","4121 - Construcción de edificios residenciales","CALLE GRAN VIA DIEGO LOPEZ DE HARO, 33","ilaskura@ohl.es","41","[944016448]","1982-11-29","2018-12-31","SOCIEDAD ANONIMA","48009 BILBAO (Bizkaia)","CONSTRUCCIONES ADOLFO SOBRINO SA","Desconocido","Activa","[944016446]","['www.ohl.es']","mediana"
"A21035613","5568696.42","2018","60110","VAZQUEZ GARRIDO, JOSE MANUEL","4211 - Construcción de carreteras y autopistas","POLIGONO INDUSTRIAL LA PAZ, 77","administracion@terracivil.es","32","[959271860]","1986-06-30","2018-12-31","SOCIEDAD ANONIMA","21007 HUELVA (Huelva)","TERRACIVIL SA","Desconocido","Activa","[959271452]","['www.terracivil.es']","pequeña"
"A23434970","54965395.03","2018","562500","VIALTERRA INGENIERIA Y CONSTRUCCION VALENCIA SL","4121 - Construcción de edificios residenciales","CALLE IGNACIO FIGUEROA, 1 - PISO 1 A","info@vialterra.com","153","[953756953]","2000-08-22","2018-12-31","SOCIEDAD ANONIMA","23001 JAEN (Jaén)","VIALTERRA INFRAESTRUCTURAS SOCIEDAD ANONIMA.","Desconocido","Activa","[953750042, 953939744]","['www.vialterra.com']","grande"
"A26011486","7826025.77","2018","1098447.67","ARAMBARRI PEREZ, JOSE MIGUEL","4121 - Construcción de edificios residenciales","CALLE GENERAL VARA DE REY, 5 - PISO 1º","aransa@aransa.com","20","[941248211]","1973-07-28","2018-12-31","SOCIEDAD ANONIMA","26003 LOGROÑO (La Rioja)","ARANSA CONSTRUCCION Y OBRA CIVIL SA","Desconocido","Activa","[941271212, 941271213, 941124552]","['www.aransaconstruccion.com']","pequeña"
"A28110575","62275000","2018","601000","HOFELICH, PABLO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","PLAZA MANUEL GOMEZ-MORENO, S/N - ED BRONCE","rosa.pulido@thyssenkrupp.com","75","[915554789]","1962-09-04","2018-09-30","SOCIEDAD ANONIMA","28020 MADRID (Madrid)","THYSSENKRUPP INDUSTRIAL SOLUTIONS SA.","['POLYSIUS, S.A.']","Activa","[915558040]","['www.thyssenkrupp-industrial-solutions.com']","mediana"
"A28204378","11092401","2018","13540230","KRAHE RUIZ, JAVIER","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE MARQUES DE VILLAMAGNA, 6","info@centunion.com","39","Desconocido","1968-07-05","2018-12-31","SOCIEDAD ANONIMA","28001 MADRID (Madrid)","CENTUNION ESPAÑOLA DE COORDINACION TECNICA Y FINANCIERA SA","['CENTUNION, ESPAÑOLA DE COORDINACION TECNICA Y FINANCIERA, S.A.']","Activa","[914323100, 914360665, 914360671, 914360637]","['www.centunion.com']","pequeña"
"A28249977","15886247","2018","131898010.4","CONTRERAS CHAMORRO, RAFAEL JESUS","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE GENERAL DIAZ PORLIER, 49 - PISO 6","info@airtificial.com","127","[914021609]","1970-10-03","2018-12-31","SOCIEDAD ANONIMA","28001 MADRID (Madrid)","AIRTIFICIAL INTELLIGENCE STRUCTURES SA.","Desconocido","Activa","[911211700]","['www.airtificial.com']","mediana"
"A28526275","71907083","2018","1262100","GARCIA RAMIREZ, MANUEL","4321 - Instalaciones eléctricas","CALLE BAHIA DE POLLENSA, 13 - EDIF. ALDESA","general@acisabcn.es","346","[913814363]","1978-06-15","2018-12-31","SOCIEDAD ANONIMA","28042 MADRID (Madrid)","AERONAVAL DE CONSTRUCCIONES E INSTALACIONES SA","Desconocido","Activa","[913819220, 934746584, 934744299]","['www.acisa.es']","grande"
"A28695021","17611163.59","2018","676125","SANCHEZ PEREZ, IGNACIO","4122 - Construcción de edificios no residenciales","CALLE CARDENAL BELLUGA, 21","edhinor@edhinor.es","40","[917264203]","1981-05-05","2018-12-31","SOCIEDAD ANONIMA","28028 MADRID (Madrid)","EDHINOR SA","['""EDHINOR, S.A.""']","Activa","[917241524, 913614779, 917267805]","['www.edhinor.es']","pequeña"
"A28887529","2095997.92","2018","60101.21","VACAS LOPEZ, PEDRO","4121 - Construcción de edificios residenciales","CALLE HIERRO, 2 - B","Desconocido","56","[916776000]","1983-12-30","2018-12-31","SOCIEDAD ANONIMA","28850 TORREJON DE ARDOZ (Madrid)","CONSTRUCCIONES VACAS SA","Desconocido","Activa","Desconocido","Desconocido","mediana"
"A28923183","9553420.22","2016","112689.77","ELDU CORPORATE SL REPRES PJ ARTETA OCERIN JON","4321 - Instalaciones eléctricas","CALLE PUERTO DE PAJARES, 13","administracion@eldu.com","80","Desconocido","1984-04-11","2016-12-31","SOCIEDAD ANONIMA","28919 LEGANES (Madrid)","ELDU ELECTROAPLICACIONES SA","Desconocido","Reapertura de la hoja registral","[902112999, 915087747]","['www.eldu.com']","mediana"
"A30033385","5826920.16","2018","210745.66","FERNANDEZ ROMERO, JUAN FRANCISCO","4321 - Instalaciones eléctricas","CARRETERA DE MURCIA, 28","ferysan@ferysan.com","42","[968705667]","1979-06-26","2018-12-31","SOCIEDAD ANONIMA","30400 CARAVACA DE LA CRUZ (Murcia)","ELECTRICIDAD FERYSAN SA","Desconocido","Activa","[968708234]","['www.ferysan.com']","pequeña"
"A31189350","5604254.29","2018","901518.16","LOPEZ IRIBARREN, JAVIER ANGEL","4211 - Construcción de carreteras y autopistas","LUGAR PARAJE MONTE URRAUN, S/N","asfaltosbiurrun@asfaltosbiurrun.com","16","[948360245]","1987-02-23","2018-12-31","SOCIEDAD ANONIMA","31398 TIEBAS-MURUARTE DE RETA (Navarra)","ASFALTOS DE BIURRUN SA","Desconocido","Activa","[948360212]","['www.asfaltosbiurrun.com']","pequeña"
"A33605072","9904302.78","2018","299298","ALVARGONZALEZ MARTINEZ, ANTONIO MANUEL","4211 - Construcción de carreteras y autopistas","CARRETERA AS-II, 3500","ac@alvargonzalez.as","101","[985168439]","1966-11-03","2018-12-31","SOCIEDAD ANONIMA","33392 GIJON (Asturias)","ALVARGONZALEZ CONTRATAS SA","Desconocido","Activa","[985168094, 985605358]","Desconocido","pequeña"
"A33615584","1604061","2016","96160","PEREZ RODRIGUEZ, ENRIQUE","4321 - Instalaciones eléctricas","CALLE ADA BYRON, 220","tsk@tsk.es","44","[985134222]","1980-11-18","2016-12-31","SOCIEDAD ANONIMA","33394 GIJON (Asturias)","INGENIERIA Y REALIZACIONES ELECTRICAS SA","Desconocido","Activa","[984495500, 985347000, 985134171, 984495550]","['www.grupotsk.com']","pequeña"
"A33615931","13121153.32","2018","60120","ALVAREZ PENALVA, JUAN CARLOS","4211 - Construcción de carreteras y autopistas","CALLE ALBASANZ, 14 - BIS. PISO 2 G","gijon@tapusa.es","20","Desconocido","1979-02-14","2018-12-31","SOCIEDAD ANONIMA","28037 MADRID (Madrid)","TABLEROS Y PUENTES SA","Desconocido","Activa","[915412007, 985336611, 915488898, 913042970]","Desconocido","pequeña"
"A36623353","14525061.03","2017","87747.46","GARCIA COSTAS, JOSE","3315 - Reparación y mantenimiento naval","AVENIDA BEIRAMAR, 75","emenasa@emenasa.com","24","[986298945]","1982-04-19","2017-12-31","SOCIEDAD ANONIMA","36202 VIGO (Pontevedra)","ELECTROMECANICA NAVAL E INDUSTRIAL SA","Desconocido","Activa","[986299514, 986299791, 986205649]","['www.emenasa.com']","mediana"
"A39015169","65946795.61","2018","102710.9","GRUPO SIECSA S L REPRES PJ DE MIGUEL GARCIA JUAN AGUSTIN","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","PASEO JULIO HAUZEUR, 45 - B BAJO","siecsa@siecsa.com","156","[942891362]","1976-05-05","2018-12-31","SOCIEDAD ANONIMA","39300 TORRELAVEGA (Cantabria)","SIECSA CONSTRUCCION Y SERVICIOS SA","Desconocido","Activa","[942892411, 942835020]","['www.siecsa.com']","grande"
"A40006306","5574653.67","2018","60000","SANZ VELAZQUEZ, JESUS PABLO","4211 - Construcción de carreteras y autopistas","CALLE VALARTO, 7","info@aucasaobras.com","35","[921150212]","1979-11-25","2018-12-31","SOCIEDAD ANONIMA","40213 VALLELADO (Segovia)","AUCASA OBRAS Y TRANSPORTES SA","Desconocido","Activa","[921150413]","['www.aucasaobras.com']","pequeña"
"A41132036","115839856","2018","663520","DEL REAL URBANO, GERMAN","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE GONZALO JIMENEZ DE QUESADA, 2","ayesa@ayesa.com","1395","[955043601]","1984-01-25","2018-12-31","SOCIEDAD ANONIMA","41092 SEVILLA (Sevilla)","AYESA ADVANCED TECHNOLOGIES SA.","Desconocido","Activa","[902995556, 954467046, 955467046, 955043600]","['www.ayesa.com']","grande"
"A46041711","101312948.4","2018","20062015.07","RAMBLA MOLINOS, JOSE CARLOS","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE DE GRECIA, 31","castellon@becsa.es","375","[964343322]","1969-01-11","2018-12-31","SOCIEDAD ANONIMA","12006 CASTELLON PLANA/CASTELLO PLANA (Castellón)","BECSA SOCIEDAD ANONIMA","Desconocido","Activa","[964343300, 902340000]","['www.becsa.es']","grande"
"A46112041","6953000","2018","3377620","ELECTRONIC TRAFIC SA","7219 - Otra investigación y desarrollo experimental en ciencias naturales y técnicas","CALLE TRES FORQUES, 147","etra@grupoetra.com","85","[963503234]","1978-07-15","2018-12-31","SOCIEDAD ANONIMA","46014 VALENCIA (Valencia)","ETRA INVESTIGACION Y DESARROLLO SA","Desconocido","Activa","[963134082]","['www.grupoetra.com']","mediana"
"A46160701","9690579.43","2017","600056","JARAIZ HUESO, JOSE MANUEL","4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado","RONDA AUGUSTE Y LOUIS LUMIERE, 24","tecmosa@tecmosa.com","68","[961533808]","1981-08-05","2017-12-31","SOCIEDAD ANONIMA","46980 PATERNA (Valencia)","TECNOLOGIA DE MONTAJES Y MANTENIMIENTOS SOCIEDAD ANONIMA.","Desconocido","Activa","[961533212]","['www.tecmosa.com']","mediana"
"A47576046","6682921.95","2018","13618000","IRIDIUM CONCESIONES DE INFRAESTRUCTURAS SA","5221 - Actividades anexas al transporte terrestre","CARRETERA CL-601","mbenito@aupisa.net","15","[983558380]","2006-04-06","2018-12-31","SOCIEDAD ANONIMA","47160 PORTILLO (Valladolid)","AUTOVIA DE LOS PINARES SA","['AUPISA AUTOVIA DE LOS PINARES S.A.']","Activa","[983558599]","['www.autoviadelospinares.com']","pequeña"
"A48071898","5322573.69","2018","68910","GONZALEZ GARCIA, ALBERTO ANTONIO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE ITURRIONDO, 18 - ED  A-1","gorco@gorco.es","15","[944801223]","1975-01-22","2018-12-31","SOCIEDAD ANONIMA","48940 LEIOA (Bizkaia)","GORCO SA INGENIERIA DEL MEDIO AMBIENTE","Desconocido","Activa","[944635255, 944635244]","['www.gorco.es']","pequeña"
"A48093421","19808860.81","2018","174972.66","LASUEN CHURRUCA, MIKEL","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","BARRIO ASTOLA, 68","clasuen@lasuen.com","37","[946810204]","1978-12-30","2018-12-31","SOCIEDAD ANONIMA","48220 ABADIÑO (Bizkaia)","CONSTRUCCIONES LASUEN SOCIEDAD ANONIMA","['CONSTRUCCIONES LASUEN, S.A.']","Activa","[946814036]","['www.construccioneslasuen.com']","pequeña"
"A48172837","4777722.28","2018","60200","EGURROLA JAKOBA, OLAIZ","4121 - Construcción de edificios residenciales","CALLE TENDERIA, 2","ganeko1@construccionesganeko.es","29","[944794591]","1985-05-28","2018-12-31","SOCIEDAD ANONIMA","48005 BILBAO (Bizkaia)","CONSTRUCCIONES GANEKO SA","['CONSTRUCCIONES GANEKO, S.A.']","Activa","[944794590]","['www.construccionesganeko.es']","pequeña"
"A50539162","1551100","2018","225990","ELDU SA","4321 - Instalaciones eléctricas","CALLE OLMO, 18","web@eldu.com","16","[976107490]","1993-02-09","2018-12-31","SOCIEDAD ANONIMA","50171 LA PUEBLA DE ALFINDEN (Zaragoza)","ELDU ARAGON SA","Desconocido","Activa","[976109890]","['www.eldu.com']","pequeña"
"A50752245","11469025.88","2018","60101.21","GONZALEZ ALMAZAN, ENRIQUE","4321 - Instalaciones eléctricas","CALLE ANETO, 1 - PARC. 15","entrerrios@entrerrios-automatizacion.es","69","Desconocido","1998-03-24","2018-12-31","SOCIEDAD ANONIMA","50690 PEDROLA (Zaragoza)","ENTRERRIOS AUTOMATIZACION SA","['E ENTRERRIOS AUTOMATIZADOS, S.A.']","Activa","[976610464]","['www.entrerrios-automatizacion.es']","mediana"
"A53726741","1700980.47","2018","3000000","SANCHEZ PEREZ, CESAR","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","PLAZA SAN CRISTOBAL, 1","geonet@geonet.es","52","Desconocido","2002-12-27","2018-12-31","SOCIEDAD ANONIMA","03002 ALICANTE/ALACANT (Alicante)","GEONET TERRITORIAL SA","Desconocido","Activa","[965142266]","['www.geonet.es']","pequeña"
"A57115701","5391031.8","2018","151000","SIMON ALBA GRUP SL","4121 - Construcción de edificios residenciales","CALLE DEL CALÇAT, 2 - BJ B","cbr@bartolomeramon.com","22","[971912001]","2001-12-31","2018-12-31","SOCIEDAD ANONIMA","07011 PALMA (Baleares)","CONSTRUCCIONES BARTOLOME RAMON SA.","Desconocido","Activa","[971912000, 971912002, 971912003]","['www.bartolomeramon.com']","pequeña"
"A57359291","8058661.21","2017","12800000","ARROM BIBILONI, MATIAS","4211 - Construcción de carreteras y autopistas","CALLE MAQUINARIA, 4 - ED CONFORT, PLT 2, LC 7","pantallas@accesosdeibiza.com","10","[971308773]","2005-07-15","2017-12-31","SOCIEDAD ANONIMA","07011 PALMA (Baleares)","ACCESOS DE IBIZA SA","Desconocido","Activa","[971308774, 971308875]","Desconocido","pequeña"
"A58286618","1491062.25","2015","616306.6","Desconocido","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE VERGOS, 11","gecsa@gecsa.net","23","[934451011]","1986-12-17","2015-12-31","SOCIEDAD ANONIMA","08017 BARCELONA (Barcelona)","GECSA INGENIERIA Y OBRAS SA  (EXTINGUIDA)","Desconocido","Extinción","[932116837, 934451010]","['www.gecsa.net']","pequeña"
"A58869892","6216507.41","2018","150253","PEREZ COTES, FAUSTINO","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE DIPUTACIO, 427 - BA","info@faus.org","41","[932655390]","1991-01-17","2018-12-31","SOCIEDAD ANONIMA","08013 BARCELONA (Barcelona)","CONSTRUCCIONES Y SERVICIOS FAUS SA","Desconocido","Activa","[932655450, 932692959]","Desconocido","pequeña"
"A59555466","22545686","2017","194123","SCHELLER, RALF","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE LA GARROTXA, 10 - 12","info@es.tuv.com","277","[934780768]","1991-12-01","2017-12-31","SOCIEDAD ANONIMA","08820 EL PRAT DE LLOBREGAT (Barcelona)","TUV RHEINLAND IBERICA INSPECTION CERTIFICATION & TESTING SA","['ICICT, S. A.']","Activa","[934790380, 934781131, 933783800, 935035632]","['www.tuv.es']","grande"
"A60864840","16282549.38","2018","4002274.98","GABRIEL SELLES, COSME","4321 - Instalaciones eléctricas","CALLE ARQUIMEDES, 26","procon@proconsystems.net","66","[933831601]","1995-05-25","2018-12-31","SOCIEDAD ANONIMA","08918 BADALONA (Barcelona)","PROCON SYSTEMS SA","Desconocido","Activa","[934609940]","['www.proconsystems.net']","mediana"
"A61434205","43913881.03","2018","300506.06","SANS SANS, DAVID","4121 - Construcción de edificios residenciales","CALLE BERLIN, 47 - ENTRESUELO","betaconkret@betaconkret.com","91","[933007792]","1997-07-24","2018-12-31","SOCIEDAD ANONIMA","08014 BARCELONA (Barcelona)","BETA CONKRET SA","Desconocido","Activa","[933006850, 902876618]","['www.betaconkret.com']","mediana"
"A62458765","43110467","2018","60120","FLETA COIT, DANIEL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE CAN GUASCH, 2","info.ge@grifols.com","74","Desconocido","2000-12-14","2018-12-31","SOCIEDAD ANONIMA","08150 PARETS DEL VALLES (Barcelona)","GRIFOLS ENGINEERING SA","Desconocido","Activa","[935710500, 935710042, 935710196]","['www.grifolsengineering.com']","mediana"
"A64628225","60474623","2018","58403000","VIZCAINO MUÑOZ, FRANCISCO JAVIER","4211 - Construcción de carreteras y autopistas","AVENIDA JOSEP TARRADELLAS, 38 - P. 6","cedinsa@cedinsa.net","0","[932290033]","2007-07-12","2018-12-31","SOCIEDAD ANONIMA","08029 BARCELONA (Barcelona)","CEDINSA EIX TRANSVERSAL CONCESSIONARIA DE LA GENERALITAT DE CATALUNYA SA","Desconocido","Activa","[932291060]","['www.cedinsa.net']","grande"
"A64977275","70993265","2018","5798000","DESARROLLO DE CONCESIONES FERROVIARIAS SL","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE COMTE D'URGELL, 240 - PISO 3 PTA C","concessionaria@linia9t4.cat","4","[934108752]","2008-12-15","2018-12-31","SOCIEDAD ANONIMA","08036 BARCELONA (Barcelona)","LINIA NOU TRAM QUATRE SA.","Desconocido","Activa","[934447655]","Desconocido","grande"
"A73089120","38179173","2018","60101.2","QUIJADA PIQUERAS, MANUEL","0210 - Silvicultura y otras actividades forestales","AVENIDA JUAN CARLOS I (MURCIA), 43 - PISO 2","orthem@orthem.com","50","[968350793]","2000-05-18","2018-12-31","SOCIEDAD ANONIMA","30009 MURCIA (Murcia)","ORTHEM SERVICIOS Y ACTUACIONES AMBIENTALES SAU","Desconocido","Activa","[968350034]","['www.orthem.com']","grande"
"A78044419","1413437.58","2014","60003.84","CUBEDO FEYTO, RAMON","4743 - Comercio al por menor de equipos de audio y vídeo en establecimientos especializados","CALLE DE SEPULVEDA, 6 - NAV 34  P I ALCOBENDAS","mserrano@mediacom95.com","15","[916574591]","1985-05-24","2014-12-31","SOCIEDAD ANONIMA","28108 ALCOBENDAS (Madrid)","MEDIACOM 95 SA","Desconocido","Activa","[911706496, 916613602]","['www.mediacom95.com']","pequeña"
"A78145026","2666358.61","2017","180300","CRUZ ROCHE, ARTURO","4291 - Obras hidráulicas","CALLE PICO ALMANZOR (PG VALDECABANA), 29","jaimesola@geopsa.net","40","[918711020]","1986-01-30","2017-12-31","SOCIEDAD ANONIMA","28500 ARGANDA DEL REY (Madrid)","GESTION ESTUDIOS OBRAS Y PROYECTOS SA","Desconocido","Activa","[918761192, 918761195]","['www.geopsa.net']","pequeña"
"A78286812","10811573.4","2017","135377.97","RODANTARE SLP REPRES PJ ARENAS RODRIGAÑEZ ANTONIO","4121 - Construcción de edificios residenciales","CALLE POLLENSA, 6 - EDIF. ECU Nº 2 PLANTA 2","general@casdisa.es","40","[916401319]","1986-05-28","2017-12-31","SOCIEDAD ANONIMA","28290 LAS ROZAS DE MADRID (Madrid)","CASDISA DE PROMOCIONES SA","Desconocido","Activa","[916401000]","['www.casdisa.es']","pequeña"
