"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A15148547","1021871.55","2014","66111.33","ROMERO VALIÑA, MARIA","7111 - Servicios técnicos de arquitectura","CALLE JUAN FLOREZ, 104 - EN PTA.A","toponort2@toponort.es","23","[981263999]","1988-05-17","2014-12-31","SOCIEDAD ANONIMA","15005 A CORUÑA (La Coruña)","TOPONORT SA","Desconocido","Concurso","[981271922]","['www.toponort.es']","pequeña"
"A15352735","2851570.82","2018","243409.9","VIÑAL IGLESIAS, EULOGIO","4211 - Construcción de carreteras y autopistas","LUGAR PENATEIXA, 13","oficina@eulogiovinal.es","41","[981688946]","1991-12-16","2018-12-31","SOCIEDAD ANONIMA","15688 OROSO (La Coruña)","EULOGIO VIÑAL OBRAS Y CONSTRUCCIONES SA","Desconocido","Activa","[981691545]","Desconocido","pequeña"
"A15518426","18640056","2018","150250","PUENTES Y CALZADAS GRUPO DE EMPRESAS SA","4213 - Construcción de puentes y túneles","CARRETERA DE LA ESTACION, S/N","francisco@estructuras.es","68","[981691601]","1995-06-14","2018-12-31","SOCIEDAD ANONIMA","15888 OROSO (La Coruña)","ESTRUCTURAS Y MONTAJE DE PREFABRICADOS SA","Desconocido","Activa","[981688901]","['www.grupopuentes.com']","mediana"
"A16015364","17235406.43","2018","1068471.5","SANTIAGO MONEDERO, JAVIER","4778 - Otro comercio al por menor de artículos nuevos en establecimientos especializados","CALLE DON TOMAS, 19","info@monegas.com","32","[969331008]","1984-01-24","2018-12-31","SOCIEDAD ANONIMA","16200 MOTILLA DEL PALANCAR (Cuenca)","MONEGAS SA","['LA GAVIOTA ESTACION DE SERVICIO 24H']","Activa","[969333036]","['www.monegas.com']","mediana"
"A16248940","11176766.08","2018","6680000","GUTIERREZ HERNANDEZ, JAVIER FRANCISCO","4211 - Construcción de carreteras y autopistas","POLIGONO LOS PALANCARES, PARC. 2","administracion@coninfra.com","14","[969239466]","2006-05-17","2018-12-31","SOCIEDAD ANONIMA","16004 CUENCA (Cuenca)","CONQUENSE DE INFRAESTRUCTURAS SA","Desconocido","Activa","[969239407]","Desconocido","pequeña"
"A16250813","5953012.96","2018","174580","JIMENEZ GISMERO, EDUARDO","4211 - Construcción de carreteras y autopistas","CALLE MAYOR ALTA, 3 - APARTADO DE CORREOS 65","construccion@maxinfraestructuras.es","25","[967182546]","2006-07-24","2018-12-31","SOCIEDAD ANONIMA","16630 MOTA DEL CUERVO (Cuenca)","MAXINFRAESTRUCTURAS SA","Desconocido","Activa","[967182569]","['www.maxinfraestructuras.es']","pequeña"
"A18546978","8816230.66","2017","64607.5","MANRIQUE CARRASCO, DANIEL FRANCISCO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE SAN ANTON, 72 - ED REAL CENTER PL 3 OFICINA 6","facturacion@cglesa.com","53","[958265516]","2000-06-26","2017-12-31","SOCIEDAD ANONIMA","18005 GRANADA (Granada)","CONSTRUCCIONES GLESA SA","Desconocido","Activa","[958521401]","['www.glesa.es']","mediana"
"A20806329","44124617","2018","5420000","GARCIA PRADO, FERNANDO","5221 - Actividades anexas al transporte terrestre","BARRIO ASTI, 631 B","bidelan@bidelan.eus","382","[943212445]","2003-04-11","2018-12-31","SOCIEDAD ANONIMA","20800 ZARAUTZ (Gipuzkoa)","BIDELAN GIPUZKOAKO AUTOBIDEAK SA","Desconocido","Activa","[943311910]","['www.bidelan.eus']","grande"
"A25325416","12860128.03","2018","60110","ROMERO POLO, JOSE ANTONIO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CAMINO DE LA PUEBLA, S/N - PARC. 106","papsa@papsa.es","53","[973248690]","1994-04-13","2018-12-31","SOCIEDAD ANONIMA","50162 VILLAMAYOR DE GALLEGO (Zaragoza)","PAPSA INFRAESTRUCTURAS SA.","['PAPSA']","Activa","[976224314, 973228960, 976916006, 976221251]","['www.papsa.es']","mediana"
"A26017889","2267817.33","2018","60101.21","JIMENEZ BLANCO, JESUS MANUEL","4321 - Instalaciones eléctricas","AVENIDA MENDAVIA, 16 - PABE 10","sanse@mesanse.com","12","[941234663]","1979-12-11","2018-12-31","SOCIEDAD ANONIMA","26009 LOGROÑO (La Rioja)","MONTAJES ELECTRICOS SANSE SA","Desconocido","Activa","[941246900]","['www.mesanse.com']","pequeña"
"A27826700","13314849.26","2018","100000","PEREZ COSTAS, FERNANDO","3312 - Reparación de maquinaria","CARRETERA CAMPOSANCOS, 182","eia@emenasa.com","50","Desconocido","2016-01-19","2018-12-31","SOCIEDAD ANONIMA","36330 VIGO (Pontevedra)","EMENASA INDUSTRIA Y AUTOMATISMO SA","Desconocido","Activa","[986160454, 986299514]","Desconocido","mediana"
"A28108447","200111","2018","7621681","KAYALI KAYALI, MOHAMED EYAD","7410 - Actividades de diseño especializado","CALLE DE LA CALENDULA, 95 - EDFS. N & Ñ","euroamykasa@euroamykasa.com","28","[916585252]","1962-06-28","2018-12-31","SOCIEDAD ANONIMA","28109 ALCOBENDAS (Madrid)","EUROAMYKASA SA","['EUROAMYKASA, S.A.', '""ALDEA BLANCA, S.A.""']","Activa","[916585220, 916585201, 916585250]","['www.euroamykasa.com']","pequeña"
"A28220168","273786981","2018","8250660","LIBRERO PINTADO, CARMEN","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","PASEO HABANA, 138","ineco@ineco.es","2895","[914521300]","1968-07-20","2018-12-31","SOCIEDAD ANONIMA","28036 MADRID (Madrid)","INGENIERIA Y ECONOMIA DEL TRANSPORTE SME MP SA.","Desconocido","Activa","[914521200, 914521469, 914576659]","['www.ineco.es']","grande"
"A28410850","14738326.67","2018","901500","TEEKENS JOHANNES, ABRAHAM","4399 - Otras actividades de construcción especializada n.c.o.p.","AVENIDA ALBUFERA, 321 - PLT 2ª LOC 1 Y 2","opsa@opsa.es","17","[913322871]","1975-11-28","2018-12-31","SOCIEDAD ANONIMA","28031 MADRID (Madrid)","OBRAS Y PAVIMENTOS ESPECIALES SA","Desconocido","Activa","[913013327]","['www.opsa.es']","pequeña"
"A28416089","5817506.35","2018","1009700.34","DEL BARRIO BORONA, TEODORO","4211 - Construcción de carreteras y autopistas","CALLE ARTE, 15 - 1º","administracion@tebasa.com","40","[917664248]","1975-12-30","2018-12-31","SOCIEDAD ANONIMA","28033 MADRID (Madrid)","TEODORO DEL BARRIO SA","Desconocido","Activa","[913027306, 913027270, 912198373]","['www.tebasa.com']","pequeña"
"A28457984","21188172.04","2018","1500048","KRIMSON VENTURES SL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE JULIAN CAMARILLO, 29 - 4ª PLANTA","nipsa@nipsa.es","400","[911023630]","1976-12-23","2018-12-31","SOCIEDAD ANONIMA","28037 MADRID (Madrid)","INGENIERIA, ESTUDIOS Y PROYECTOS NIP, SA","Desconocido","Activa","[911023647, 914151112, 914151230, 914151133]","['www.nipsa.es']","grande"
"A28976306","8174901.53","2018","60500","CADIZ BARRANCO, CARLOS","4121 - Construcción de edificios residenciales","CALLE GRAN VIA, 48 - 2 B","ejuca@ejuca.com","27","[916388657]","1984-11-20","2018-12-31","SOCIEDAD ANONIMA","28220 MAJADAHONDA (Madrid)","EMPRESA CONSTRUCTORA EJUCA SA","Desconocido","Activa","[916346176, 916346104]","['www.ejuca.com']","pequeña"
"A29351525","20274898.12","2017","1000088.37","CORCHADO QUILEZ, JOSE ANTONIO","4730 - Comercio al por menor de combustible para la automoción en establecimientos especializados","CALLE MENENDEZ PIDAL, 43 - SEGUNDA PLANTA","info@grupoascia.es","68","[915972139]","1988-08-19","2017-12-31","SOCIEDAD ANONIMA","28036 MADRID (Madrid)","ASCIA EAS SA.","Desconocido","Activa","[915562866, 933361216, 911733669, 933351238]","['www.grupoascia.es']","mediana"
"A29543568","200139036.73","2018","3185400","BELMONTE SANCHEZ, ANTONIO FRANCISCO","4211 - Construcción de carreteras y autopistas","CALLE JUAN ESPLANDIU, 11 - PLT 12","licitaciones.prinur@sacyr.com","458","Desconocido","1991-12-18","2018-12-31","SOCIEDAD ANONIMA","28007 MADRID (Madrid)","SACYR INFRAESTRUCTURAS SA.","['EA']","Activa","[915455600, 915455494, 900101930]","['www.sacyr.com']","grande"
"A30540280","7445391.84","2017","1666060","AAFJES, LEON","8690 - Otras actividades sanitarias","CALLE CASTILLO DE ALEDO, S/N - PG IND BASE 2000-S MARTIN","lab.ecosur@laboratoriosecosur.es","109","[968676871]","1997-03-06","2017-12-31","SOCIEDAD ANONIMA","30564 LORQUI (Murcia)","EUROFINS ECOSUR, S.A.","Desconocido","Activa","[968676842, 968676943]","['www.laboratoriosecosur.es']","mediana"
"A31016785","20875464","2018","600000","CONSTRUCCIONES Y PROMOCIONES BALZOLA SA","4121 - Construcción de edificios residenciales","PASEO DE MIRACONCHA, 7 - BAJO","lurgoien@lurgoien.com","44","[943445230]","1966-06-30","2018-12-31","SOCIEDAD ANONIMA","20007 DONOSTIA/SAN SEBASTIAN (Gipuzkoa)","LURGOIEN SA","Desconocido","Activa","[943445640]","['www.lurgoien.com']","mediana"
"A31236128","4058007","2017","300450","SCHELLER, RALF","7120 - Ensayos y análisis técnicos","CALLE SOTO DE AIZOAIN, S/N","info-madrid@es.tuv.com","50","[914135590]","1989-01-27","2017-12-31","SOCIEDAD ANONIMA","31012 PAMPLONA/IRUÑA (Navarra)","TUV RHEINLAND NAVARRA SA","Desconocido","Activa","[948303586, 917444500, 948354694]","['www.tuv.es']","pequeña"
"A32118705","13550242.03","2018","60110","PRADA VALENCIA, PABLO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CAMINO DA CIMA, 24 - BAJO","central@misturas.es","35","[988269974]","1990-06-22","2018-12-31","SOCIEDAD ANONIMA","32004 OURENSE (Orense)","MISTURAS OBRAS E PROXECTOS SA","Desconocido","Activa","[988214691, 902404087]","['www.misturas.es']","mediana"
"A32300840","9975605.28","2018","1840919","RODRIGUEZ VAZQUEZ, JOSE MANUEL","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","PLAZA ESPAÑA, 12 - ENTRESUE","milagarcia@marinpetroleos.es","27","Desconocido","2002-11-19","2018-12-31","SOCIEDAD ANONIMA","36600 VILAGARCIA DE AROUSA (Pontevedra)","MARIN PETROLEOS SA","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"A33024258","11869915","2017","12000000","ALONSO CUERVO, FERNANDO","4321 - Instalaciones eléctricas","POLIGONO INDUSTRIAL SILVOTA, PARC. 63. PLANTA 1","info@isastur.com","74","[985260275]","1978-10-26","2017-12-31","SOCIEDAD ANONIMA","33192 LLANERA (Asturias)","INGENIERIA Y SUMINISTROS ASTURIAS SA","['INGENIERIA Y SUMINISTROS ASTURIAS, S.A. (ISASTUR, S.A.)']","Activa","[985980104]","['www.isastur.com']","mediana"
"A33048505","22053268.21","2017","198694.6","PRENDES CARRIL, PEDRO","4211 - Construcción de carreteras y autopistas","AVENIDA PRUDENCIO GONZALEZ, 61 - PLANTA BAJA","central@contratasiglesias.com","46","[985771170]","1983-08-09","2017-12-31","SOCIEDAD ANONIMA","33424 LLANERA (Asturias)","CONTRATAS IGLESIAS SA (EN LIQUIDACION)","Desconocido","Disolución","[985771525]","['www.contratasiglesias.com']","pequeña"
"A33373622","5690530.89","2018","60110","INVERSIONES MARPEL SL","0510 - Extracción de antracita y hulla","CALLE MUÑOZ DEGRAIN, 5","carbomec@grupocarbomec.com","95","[985274376]","1992-08-05","2018-12-31","SOCIEDAD ANONIMA","33007 OVIEDO (Asturias)","MECANIZACIONES CARBONIFERAS Y SERVICIOS SA","Desconocido","Activa","[985237789]","['www.grupocarbomec.com']","pequeña"
"A33603861","1648521.22","2018","1658760","HIJOS DE JOSE CAVIA SL","4121 - Construcción de edificios residenciales","CALLE FERNANDEZ VALLIN, 1","gi@fercavia.com","30","[985348968]","1962-12-24","2018-12-31","SOCIEDAD ANONIMA","33206 GIJON (Asturias)","CONSTRUCCIONES FERCAVIA, SA","['CONSTRUCCIONES FERCAVIA, S.A']","Activa","[985355145, 985605423]","['www.fercavia.com']","pequeña"
"A35009802","72669920","2018","8963752.73","DE GOUVEIA JOAO, JOSE","4121 - Construcción de edificios residenciales","AVENIDA COSTA BLANCA, 139","central@ecisa.es","421","[965268058]","1968-08-10","2018-12-31","SOCIEDAD ANONIMA","03540 ALICANTE/ALACANT (Alicante)","ECISA COMPAÑIA GENERAL DE CONSTRUCCIONES SA","['ECISA, GRUPO INMOBILIARIO', 'ECISA COMPAÑIA GENERAL DE CONSTRUCCIONES S.A.']","Activa","[965262522, 965155855]","['www.ecisa.es']","grande"
"A37051604","8956913.55","2018","264440","DE BARTOLOME GARCIA, MARIA ANGELICA","4211 - Construcción de carreteras y autopistas","CALLE SEGUNDA, 27 - 29","gecocsa@gecocsa.com","63","[923254208]","1987-07-03","2018-12-31","SOCIEDAD ANONIMA","37188 CARBAJOSA DE LA SAGRADA (Salamanca)","GECOCSA GENERAL DE CONSTRUCCIONES CIVILES SA","Desconocido","Activa","[923258147]","['www.gecocsa.com']","mediana"
"A38052882","2283003.03","2018","202923.06","MACRUZ INVERSIONES SL","4122 - Construcción de edificios no residenciales","CALLE JOSE DE ZARATE Y PENICHET, 2 - ED SOVHISPAN PLT 3 OF 301","atico@construccionesatico.es","25","[922282505]","1985-10-07","2018-12-31","SOCIEDAD ANONIMA","38001 SANTA CRUZ DE TENERIFE (Tenerife)","CONSTRUCCIONES ATICO SA","Desconocido","Activa","[922246900]","['www.construccionesatico.es']","pequeña"
"A43017037","58722176.13","2018","1502500","GRUPO CARBFIG 2014 SOCIEDAD LIMITADA","4122 - Construcción de edificios no residenciales","CALLE DE MALLORCA, 22","jgonzalez@cfcyp.com","350","Desconocido","1973-02-14","2018-12-31","SOCIEDAD ANONIMA","43005 TARRAGONA (Tarragona)","CARBONELL FIGUERAS SA","Desconocido","Activa","[977215304, 977230926, 977235024, 977220125]","['www.carbonellfigueras.com']","grande"
"A43581610","160321000","2018","1500000","APPLUS SERVICES SA","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","POLIGONO INDUSTRIAL DE L'ARBORNAR, 12","idiada@idiada.com","1481","[977166007]","1999-09-08","2018-12-31","SOCIEDAD ANONIMA","43710 SANTA OLIVA (Tarragona)","IDIADA AUTOMOTIVE TECHNOLOGY SA","Desconocido","Activa","[977166000, 917685867, 977169101, 977688765]","['www.applusidiada.com/es/']","grande"
"A46015129","198112870.82","2018","3090596.14","COMPAÑIA ADMINISTRADORA DE RECURSOS Y OBLIGACIONES REPRES PJ QUESADA IBAÑEZ ALFREDO","4211 - Construcción de carreteras y autopistas","CALLE TRES FORQUES, 149 - ACC","centralita@pavasal.com","729","[961920483]","1956-06-01","2018-12-31","SOCIEDAD ANONIMA","46014 VALENCIA (Valencia)","PAVASAL EMPRESA CONSTRUCTORA SA","['PAVASAL']","Activa","[961920809]","['www.pavasal.com']","grande"
"A46048088","54613865.01","2018","120200","FERNANDEZ PEREZ, GABRIEL","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE JESUS, 81 - ENTRESUELO","info@itercon.com","70","[963803213]","1986-01-02","2018-12-31","SOCIEDAD ANONIMA","46007 VALENCIA (Valencia)","INNOVACIONES TECNICAS Y RECURSOS CONSTRUCTIVOS SA.","['CONSTRUCCIONES LUJAN,SOCIEDAD ANONIMA']","Activa","[963804304]","['www.itercon.com']","grande"
"A46103594","23254646","2018","66591","INGENIERIA Y MARKETING SA REPRES PJ DOMINGUIS PEREZ HECTOR JERONIMO","8110 - Servicios integrales a edificios e instalaciones","RONDA AUGUSTE Y LOUIS LUMIERE, 15","info@gdes.com","372","[963540320]","1977-08-28","2018-12-31","SOCIEDAD ANONIMA","46980 PATERNA (Valencia)","GD ENERGY SERVICES SA.","Desconocido","Activa","[963540300, 963540304]","['www.gdes.com']","grande"
"A46605457","4035455","2018","61000","CIFRES GIMENEZ, ARTURO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CARRETERA DE LA CREU NEGRA, 78","correo@intercontrol.es","73","[902468329]","1989-02-08","2018-12-31","SOCIEDAD ANONIMA","46240 CARLET (Valencia)","INTERCONTROL LEVANTE SOCIEDAD ANONIMA","Desconocido","Activa","[902468266]","['www.intercontrol.es']","mediana"
"A48048698","0","2018","216690.55","URIBE ORMAECHEA, MARIA CARMEN","4121 - Construcción de edificios residenciales","CALLE GRAN VIA DIEGO LOPEZ DE HARO, 63","icatulys@yahoo.es","0","Desconocido","1967-07-20","2018-10-31","SOCIEDAD ANONIMA","48011 BILBAO (Bizkaia)","CONSTRUCCIONES ENRIQUE PANERA SA","Desconocido","Ilocalizable según nuestras fuentes","Desconocido","Desconocido","mediana"
"A48093538","8757424.39","2018","60200","MARTIN YARRITU, NORA MARIA","4321 - Instalaciones eléctricas","AVENIDA TXORI ERRI, 46","electric@emartin.es","68","[944711179]","1979-01-12","2018-12-31","SOCIEDAD ANONIMA","48150 SONDIKA (Bizkaia)","EMARTIN FACILITIES SOCIEDAD ANONIMA.","Desconocido","Activa","[944711117]","['www.emartin.es']","pequeña"
"A48169270","1820497","2018","475511.2","AVIGROUP INVESTMENTS HOLDING SL REPRES PJ MARTIN JIMENEZ ANTONIO","4121 - Construcción de edificios residenciales","CALLE EMISORA, 20","info@grupoavintia.com","27","[917114871]","1985-03-06","2018-12-31","SOCIEDAD ANONIMA","28224 POZUELO DE ALARCON (Madrid)","AVINTIA INFRAESTRUCTURAS SA","Desconocido","Activa","[915122711]","['www.grupoavintia.com']","pequeña"
"A48302640","57953659","2018","601000","GRUPO TAMOIN SOCIEDAD ANONIMA","4122 - Construcción de edificios no residenciales","AVENIDA AXPEKO ERRIBERA, 50 - 1º","norton@nortonei.com","55","[946759210]","1990-05-22","2018-12-31","SOCIEDAD ANONIMA","48950 ERANDIO (Bizkaia)","NORTON EDIFICIOS INDUSTRIALES SA","Desconocido","Activa","[944315120, 944316326, 946759210]","['www.nortonei.com']","grande"
"A48420020","22321370","2018","25204732.74","NAKIO ARE SOCIEDAD LIMITADA REPR TERESA MADARIAGA ZUBIMENDI","6499 - Otros servicios financieros, excepto seguros y fondos de pensiones n.c.o.p.","POLIGONO TEKNOLOGI ELKARTEGIA, ED 106","corporacion@ingeteam.com","40","[944039800]","1989-12-30","2018-12-31","SOCIEDAD ANONIMA","48170 ZAMUDIO (Bizkaia)","INGETEAM SA","['INGELECTRIC, S.A.', 'INGECON']","Activa","[944039710, 944741006]","['www.ingeteam.com']","pequeña"
"A50301514","12411686.2","2018","60061.21","OSCA GAS GESTION SOCIEDAD LIMITADA","4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado","PLAZA MIGUEL SALAMERO, 14 - 5 B","fsimon@oscagas.es","130","[976360781]","1988-11-11","2018-12-31","SOCIEDAD ANONIMA","50004 ZARAGOZA (Zaragoza)","OSCA GAS INFRAESTRUCTURAS SOCIEDAD ANONIMA.","Desconocido","Activa","[976360780, 976215202, 976741626]","['www.oscagas.es']","mediana"
"A55011399","5129518.92","2018","61380","SALICHS OLIVERAS, JUAN","4121 - Construcción de edificios residenciales","AVENIDA ALEGRIES, 62","info@salichs.cat","40","[972364543]","2008-07-28","2018-12-31","SOCIEDAD ANONIMA","17310 LLORET DE MAR (Gerona)","CONSTRUCCIO I REHABILITACIO SALICHS SOCIEDAD ANONIMA.","Desconocido","Activa","[972376483]","['www.salichs.cat']","pequeña"
"A58394941","5545188.08","2018","60350","JUANPERE MIRET, JOSE","4122 - Construcción de edificios no residenciales","CALLE VALENCIA, 289 - BJ","info@codecsa.com","8","Desconocido","1987-04-09","2018-12-31","SOCIEDAD ANONIMA","08009 BARCELONA (Barcelona)","CODECSA SA","Desconocido","Activa","[934761800]","Desconocido","pequeña"
"A58556457","4527474.36","2018","60110","RIBAS BATLLO, BLANCA","7729 - Alquiler de otros efectos personales y artículos de uso doméstico","CALLE MENDEL, 1 - LOC 2","info@crimons.com","45","Desconocido","1988-07-04","2018-12-31","SOCIEDAD ANONIMA","08034 BARCELONA (Barcelona)","CRIMONS SA","Desconocido","Activa","[934532254]","['www.crimons.com']","pequeña"
"A60682663","4762365.24","2018","60110","SANCHEZ MARTINEZ, RAFAEL","4321 - Instalaciones eléctricas","CARRETERA VIC, 266","meinsa@meinsa.com","32","Desconocido","1994-10-20","2018-12-31","SOCIEDAD ANONIMA","08243 MANRESA (Barcelona)","MINORISA DE ELECTRICITAT INDUSTRIAL SA","Desconocido","Activa","[938771899]","['www.meinsa.com']","pequeña"
"A62119896","9692592","2018","625000","COPCISA INDUSTRIAL SL REPR 143 RRM CARBONELL SANTACANA ELOI","4121 - Construcción de edificios residenciales","CALLE DIPUTACIO, 256 - P. 6 PTA. 2","novantia@novantia.com","28","[932721560]","1999-12-10","2018-12-31","SOCIEDAD ANONIMA","08007 BARCELONA (Barcelona)","NOVANTIA INTEGRAL SA","Desconocido","Activa","[932720171]","['www.novantia.com']","pequeña"
"A63503734","1810095.63","2018","300000","BERNAD WILFINGER, EDITH","2932 - Fabricación de otros componentes, piezas y accesorios para vehículos de motor","CALLE BARCELONA, 79","info@sinoteceng.com","21","Desconocido","2004-04-26","2018-12-31","SOCIEDAD ANONIMA","08640 OLESA DE MONTSERRAT (Barcelona)","SINOTEC ENGINEERING SA.","Desconocido","Activa","[937745258, 937745256, 937745257]","['www.sinoteceng.com']","pequeña"
"A63929913","23534170","2018","242676964","VIZCAINO MUÑOZ, FRANCISCO JAVIER","4211 - Construcción de carreteras y autopistas","AVENIDA JOSEP TARRADELLAS, 38 - P. 6","cedinsa@cedinsa.net","10","[932290033]","2005-07-29","2018-12-31","SOCIEDAD ANONIMA","08029 BARCELONA (Barcelona)","CEDINSA CONCESSIONARIA SA","Desconocido","Activa","[932291060, 932696650]","['www.cedinsa.net']","pequeña"
"A65056954","29675459","2018","41347010","CAT DESENVOLUPAMENT DE CONCESSIONS CATALANES SL","5221 - Actividades anexas al transporte terrestre","CARRETERA NACIONAL 340","info@eixdiagonal.cat","10","[938992078]","2009-02-23","2018-12-31","SOCIEDAD ANONIMA","08720 VILAFRANCA DEL PENEDES (Barcelona)","EIX DIAGONAL CONCESSIONARIA DE LA GENERALITAT DE CATALUNYA SA","Desconocido","Activa","[938992079, 934443236, 937428012]","Desconocido","pequeña"
