"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A28224038","15449000","2018","1955804.25","COBRA INSTALACIONES Y SERVICIOS SA REPRES PJ PEREIRA LOPEZ FELIX","4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado","CALLE CARDENAL MARCELO SPINOLA, 10","atil.central@grupocobra.com","68","[915556936]","1969-06-18","2018-12-31","SOCIEDAD ANONIMA","28016 MADRID (Madrid)","ATIL COBRA SOCIEDAD ANONIMA","Desconocido","Activa","[915551315, 914569500, 914569539]","['www.grupocobra.com']","mediana"
"A28239523","3826087.41","2018","679977.06","MOZAS MARTINEZ, JULIA","6820 - Alquiler de bienes inmobiliarios por cuenta propia","CALLE LERIDA, 8 - 10","info@proinca.es","30","[915721276]","1970-04-01","2018-12-31","SOCIEDAD ANONIMA","28020 MADRID (Madrid)","PROMOCIONES INMOBILIARIAS CALERO SA","Desconocido","Activa","[915719344, 912680778]","['www.proinca.es']","pequeña"
"A28327195","11843766.33","2018","1618200","CARRASCO GOMEZ ESCALONILLA, JOSE LUIS","4110 - Promoción inmobiliaria","CALLE PANTOJA, 12 - 2º PLANTA, PTA. B","cambrija@cambrija.es","21","[914159651]","1973-03-02","2018-12-31","SOCIEDAD ANONIMA","28002 MADRID (Madrid)","LA CAMBRIJA SA","Desconocido","Activa","[916333251, 914169395, 911705943]","['www.cambrija.es']","pequeña"
"A28474666","16162000","2018","811350","Desconocido","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE DEL MAR EGEO, 4 - POL IND 1","clientes@indra.es","220","[914809850]","1977-05-05","2018-12-31","SOCIEDAD ANONIMA","28830 SAN FERNANDO DE HENARES (Madrid)","INDRA EMAC SA (EXTINGUIDA)","Desconocido","Extinción","[914805000, 914807208, 914809855, 914806334]","['www.indracompany.com']","mediana"
"A28849495","126518000","2018","1200000","PARRA MEDIAVILLA, FELIX","4291 - Obras hidráulicas","AVENIDA CAMINO DE SANTIAGO, 40","aqualiainfraestructu@fcc.es","202","[917036496]","1983-07-11","2018-12-31","SOCIEDAD ANONIMA","28050 MADRID (Madrid)","AQUALIA INTECH SA.","Desconocido","Activa","[913595400, 917573826, 917574428]","['www.aqualia-infraestructuras.es']","grande"
"A33227018","12267966.72","2018","60200","GARCIA MONTESERIN, VIRGILIO","4321 - Instalaciones eléctricas","POLIGONO INDUSTRIAL DE FALMURIA, 39 - NAV","moncisa@moncisa.com","121","[985887680]","1989-10-13","2018-12-31","SOCIEDAD ANONIMA","33438 CARREÑO (Asturias)","MONTAJES Y OBRA CIVIL SA","Desconocido","Activa","[985887677]","['www.moncisa.com']","mediana"
"A35660844","8040481.95","2015","60102","DORESTE ZAMORA, JAVIER ERASMO","8411 - Actividades generales de la Administración Pública","CALLE LEON Y CASTILLO, 270 - OFICINAS MUNICIPALES","administracion@geursa.es","54","[928333105]","2001-05-07","2015-12-31","SOCIEDAD ANONIMA","35005 LAS PALMAS DE GRAN CANARIA (Palmas (Las))","SOCIEDAD MUNICIPAL DE GESTION URBANISTICA DE LAS PALMAS DE GRAN CANARIA SA","Desconocido","Activa","[928446600, 928333105]","['www.geursa.es']","pequeña"
"A39609565","8884163.37","2018","60200","GARCIA DEL RIO, LUIS","4121 - Construcción de edificios residenciales","CALLE ALDAY, S/N","tecniobras@grupotecniobras.com","19","[942517279]","2005-08-08","2018-12-31","SOCIEDAD ANONIMA","39600 CAMARGO (Cantabria)","TECNICAS Y OBRAS CANTABRIA SA.","Desconocido","Activa","[942517280]","['www.grupotecniobras.com']","pequeña"
"A41568643","2608853.15","2016","1252856.62","MORALES CRESPO, MARTA","4321 - Instalaciones eléctricas","CALLE HISPANO AVIACION, 7 - 9","administracion@elimco.com","59","[954432664]","1992-10-26","2016-12-31","SOCIEDAD ANONIMA","41300 LA RINCONADA (Sevilla)","ELIMCO SOLUCIONES INTEGRALES SA (EN LIQUIDACION)","Desconocido","Disolución","[954367870, 922539135, 955790315]","['www.elimco.com']","mediana"
"A41980178","72844000","2016","900000","ABENER ENERGIA SA","4222 - Construcción de redes eléctricas y de telecomunicaciones","CALLE ENERGIA SOLAR, 1","Desconocido","0","Desconocido","1999-04-08","2016-12-31","SOCIEDAD ANONIMA","41014 SEVILLA (Sevilla)","ABENTEL TELECOMUNICACIONES SA","['ABENTEL TELECOMUNICACIONES']","Activa","[954937436]","Desconocido","grande"
"A43251081","10826000","2018","120100","VERBOON, GERARD","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","LUGAR MOLL DE LLEVANT, 2º DERECHA","fluor.pe-general@fluor.com","130","[977191710]","1990-07-27","2018-12-31","SOCIEDAD ANONIMA","43004 TARRAGONA (Tarragona)","FLUOR PLANT ENGINEERING SOCIEDAD ANONIMA","Desconocido","Activa","[977191700]","['www.fluor.com']","mediana"
"A47205927","4048485.92","2018","60101.21","NIETO MARTIN, APOLONIA","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE TURQUESA, 38 - PG IND SAN CRISTOBAL","administracion@valbuena-sa.es","40","[983294132]","1989-02-13","2018-12-31","SOCIEDAD ANONIMA","47012 VALLADOLID (Valladolid)","CONSTRUCCIONES Y OBRAS VALBUENA SA","Desconocido","Activa","[983397796]","Desconocido","pequeña"
"A48710784","6003915.33","2018","714311.97","FLORES FERNANDEZ, JAVIER","4321 - Instalaciones eléctricas","AVENIDA JOSE LUIS GOIOAGA, 36","erandio@inelsa.es","49","[944671364]","1994-12-23","2018-12-31","SOCIEDAD ANONIMA","48950 ERANDIO (Bizkaia)","INSTALACIONES ELECTRICAS ERANDIO SA","Desconocido","Activa","[944671814]","['www.inelsa.es']","pequeña"
"A58142639","20140427","2018","2000000","VILLENA CONTRERAS, LUIS","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE CARACAS, 11","oficina@constraula.com","136","Desconocido","1986-03-06","2018-12-31","SOCIEDAD ANONIMA","08030 BARCELONA (Barcelona)","CONSTRAULA ENGINYERIA I OBRES SA","Desconocido","Activa","[932250506, 934463850]","['www.constraula.com']","mediana"
"A58283342","6853917.07","2018","9466391.47","BALMON AREVALO, ANTONIO","4110 - Promoción inmobiliaria","CALLE ALBERT EINSTEIN, 47 - 49","infourbana@procornella.cat","116","[933772347]","1986-10-29","2018-12-31","SOCIEDAD ANONIMA","08940 CORNELLA DE LLOBREGAT (Barcelona)","EMPRESA MUNICIPAL DE PROMOCIO SOCIAL, URBANA I ECONOMICA DE CORNELLA SA.","Desconocido","Activa","[934740202, 934753564]","['www.procornella.cat']","mediana"
"A62091616","59944.97","2018","3065100","COLAU BALLANO, ADA","7111 - Servicios técnicos de arquitectura","CALLE PINTOR FORTUNY, 17 - 19 BJ","info@fomentciutatrvella.cat","44","Desconocido","1999-02-19","2018-12-31","SOCIEDAD ANONIMA","08001 BARCELONA (Barcelona)","FOMENT DE CIUTAT SA.","Desconocido","Activa","[932566618, 932566600]","['www.fomentciutatvella.cat']","pequeña"
"A65247066","10188270.47","2018","260200","RODRIGUEZ DEL PALACIO, MIGUEL ANGEL","4321 - Instalaciones eléctricas","CALLE MONTSERRAT ROIG, 54","tgn@gruphelco.es","109","[977206143]","2010-01-08","2018-12-31","SOCIEDAD ANONIMA","08908 L'HOSPITALET DE LLOBREGAT (Barcelona)","GRUPHELCO INDUSTRIAL SA.","Desconocido","Activa","[977206144, 938873077]","['www.gruphelco.es']","mediana"
"A78884053","1426000","2018","643430.6","GARROTE DE MARCOS, FRANCISCO","0210 - Silvicultura y otras actividades forestales","CALLE FELIX BOIX, 9 - PRIMERO IZQUIERDA","irena@grupopacsa.es","23","[913594783]","1988-07-27","2018-12-31","SOCIEDAD ANONIMA","28036 MADRID (Madrid)","INGENIERIA DE LOS RECURSOS NATURALES SOCIEDAD ANONIMA","Desconocido","Activa","[913532562]","['www.irena.es']","pequeña"
"A81545790","458679000","2018","551000000","CORONAS GUINART, JOSEP MARIA","5229 - Otras actividades anexas al transporte","PASEO CASTELLANA, 39","autopistas@autopistas.com","2000","[915578122]","1996-09-25","2018-12-31","SOCIEDAD ANONIMA","28046 MADRID (Madrid)","ABERTIS AUTOPISTAS ESPAÑA SA","Desconocido","Activa","[934927827, 915951000]","['www.autopistas.com']","grande"
"A81598385","3848546.24","2018","96161.94","BELTRAN PALOMO, ANTONIO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE VIZCONDE DE MATAMALA, 1","trntaryet@trntaryet.com","30","[915570411]","1996-12-12","2018-12-31","SOCIEDAD ANONIMA","28028 MADRID (Madrid)","TRN TARYET SA.","['TRN INGENIERIA']","Activa","[914096075]","Desconocido","pequeña"
"A81821464","33075641.89","2018","2000000","BTD CAPITAL 12 SL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE ARTURO SORIA, 99 - PRIMERA PLANTA","btd@btd.es","218","[915760720]","1997-09-05","2018-12-31","SOCIEDAD ANONIMA","28043 MADRID (Madrid)","BTD PROYECTOS 12 SA.","Desconocido","Activa","[914153730]","['www.btd.es']","grande"
"A82658832","1087239.69","2018","62020","REY GARCIA, MARIA ISABEL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","AVENIDA REYES CATOLICOS, 6 - PLANTA 1ª OFICINAS 7B-8B","ampliatel@ampliatel.com","18","[916362586]","2000-04-26","2018-12-31","SOCIEDAD ANONIMA","28220 MAJADAHONDA (Madrid)","AMPLIA TELECOMUNICACIONES SA","Desconocido","Activa","[916362585]","['www.ampliatel.com']","mediana"
"A82919317","14612378","2016","177097600","PEREZ GONZALEZ, LUIS","5229 - Otras actividades anexas al transporte","CARRETERA M-408 PINTO A PARLA, SALIDA 4","arodriguez@cintra.es","90","[911463048]","2001-02-27","2016-12-31","SOCIEDAD ANONIMA","28320 PINTO (Madrid)","AUTOPISTA MADRID SUR CONCESIONARIA ESPAÑOLA SA (EN LIQUIDACION)","Desconocido","Disolución","[911463004, 902442004, 911463000, 911463061]","['www.radial4.com']","mediana"
"A83452516","24637445.3","2018","1000000","VALLINO GIL, CARLOS SALVADOR","4121 - Construcción de edificios residenciales","CALLE JUAN DE ARESPACOCHAGA Y FELIPE, 12","fatecsaobras@fatecsaobras.com","30","[918283021]","2002-10-28","2018-12-31","SOCIEDAD ANONIMA","28037 MADRID (Madrid)","FATECSA OBRAS SA","Desconocido","Activa","[918285979]","['www.fatecsaobras.com']","mediana"
"A84149566","13269654","2018","360200","BRENNAN, ANTHONY","4321 - Instalaciones eléctricas","CALLE DE LA FORJA, 2","eivar@eivar.com","131","[916424578]","2004-11-18","2018-12-31","SOCIEDAD ANONIMA","28946 FUENLABRADA (Madrid)","EIVAR OBRAS E INGENIERIA SA","Desconocido","Activa","[916424570, 916422550]","['www.eivar.com']","mediana"
"A84284892","15236277.34","2018","181200","GARCIA ALCAÑIZ CEPEDA, SERGIO FRANCISCO","4399 - Otras actividades de construcción especializada n.c.o.p.","CALLE SEGUNDA AVENIDA, 14","tecyrsa@tecyrsa.com","127","[918124336]","2005-03-17","2018-12-31","SOCIEDAD ANONIMA","28991 TORREJON DE LA CALZADA (Madrid)","TECYR CONSTRUCCIONES Y REPARACIONES SA","Desconocido","Activa","[918161659]","['www.tecyrsa.com']","mediana"
"A84780329","25014000","2016","19800000","QUINTERO MARTINEZ, DANIEL","4931 - Transporte terrestre urbano y suburbano de pasajeros","CALLE MANUEL AZAÑA, S/N","informacion@melimadrid.com","5","Desconocido","2006-07-27","2016-12-31","SOCIEDAD ANONIMA","28033 MADRID (Madrid)","METROS LIGEROS DE MADRID SA","Desconocido","Activa","[914343993]","['www.melimadrid.es', 'www.metrosligerosdemadrid.es']","mediana"
"A85270965","35164550","2018","42632700","BARRUECO GONZALEZ, RAUL","5221 - Actividades anexas al transporte terrestre","CALLE ROTONDA ARISTOTELES, 1","administracion@autoviadearagon.com","53","[918887797]","2007-11-19","2018-12-31","SOCIEDAD ANONIMA","28806 ALCALA DE HENARES (Madrid)","AUTOVIA DE ARAGON-TRAMO 1 SA","Desconocido","Activa","[918773418]","['www.autoviadearagon.com']","mediana"
"A85280253","19027000","2018","9413370","LABARRA BLANCO, JOSE ANTONIO","5221 - Actividades anexas al transporte terrestre","CARRETERA A-4","info@a4madrid.com","45","[918754379]","2007-11-27","2018-12-31","SOCIEDAD ANONIMA","28300 ARANJUEZ (Madrid)","SOCIEDAD CONCESIONARIA AUTOVIA A-4 MADRID SA","Desconocido","Activa","[918011901]","['www.a4madrid.com']","pequeña"
"A85788065","2729000","2018","60200","PEJO CLIMENT, LLUC","8559 - Otra educación n.c.o.p.","PASEO CASTELLANA, 259 - C, PLANTA 31 SUR","atencionproveedorescsc@agbar.es","22","Desconocido","2009-10-01","2018-12-31","SOCIEDAD ANONIMA","28046 MADRID (Madrid)","AQUA DEVELOPMENT NETWORK SA.","Desconocido","Activa","[933422000, 932479728]","['www.aqualogia.es']","pequeña"
"A90034265","0","2017","501735000","ABENGOA ABENEWCO 1 SA REPRES PJ FERNANDEZ DE PIEROLA MARIN JOAQUIN","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE ENERGIA SOLAR, 1","abeinsa@abengoa.com","95","[954937005]","2012-11-19","2017-12-31","SOCIEDAD ANONIMA","41014 SEVILLA (Sevilla)","ABEINSA BUSINESS DEVELOPMENT SOCIEDAD ANONIMA.","Desconocido","Activa","[954937000, 954937079, 954935845, 954937159]","['www.abeinsa.com']","grande"
"A90263401","60183165","2018","1000000","INMOBILIARIA DEL SUR SA","4121 - Construcción de edificios residenciales","CALLE ANGEL GELAN, 2","correo@grupoinsur.com","76","Desconocido","2016-05-03","2018-12-31","SOCIEDAD ANONIMA","41013 SEVILLA (Sevilla)","IDS CONSTRUCCION Y DESARROLLOS SOCIEDAD ANONIMA.","Desconocido","Activa","[954278446]","['www.grupoinsur.com']","mediana"
"A91981589","24522000","2017","60000","ABENGOA ABENEWCO 1 SA REPRES PJ FERNANDEZ DE PIEROLA MARIN JOAQUIN","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE ENERGIA SOLAR, 1","abengoa@abengoa.com","308","[955413375]","2012-01-16","2017-12-31","SOCIEDAD ANONIMA","41014 SEVILLA (Sevilla)","ABEINSA EPC SA","Desconocido","Ilocalizable según nuestras fuentes","[954937111, 954937075, 954665065, 954937000]","['www.abeinsa.com']","grande"
"A95684890","36979749","2018","30775000","AGUIRIANO ERQUICIA, XABIER","5229 - Otras actividades anexas al transporte","AVENIDA ELORRIAGAZAR, 13","administracion@agesa.eus","0","[946814700]","2012-06-01","2018-12-31","SOCIEDAD ANONIMA","48220 ABADIÑO (Bizkaia)","SOCIEDAD CONCESIONARIA AUTOVIA GEREDIAGA ELORRIO SOCIEDAD ANONIMA.","Desconocido","Activa","[946813026, 946215496]","Desconocido","mediana"
"B01499144","2561551.66","2018","261006","GOMEZ PEREZ, JOSE MANUEL","4222 - Construcción de redes eléctricas y de telecomunicaciones","BARRIO ZUBIETE, 40 - NAV 4","jmgomez@euskotelecom.com","60","Desconocido","2012-04-25","2018-12-31","SOCIEDAD LIMITADA","48192 GORDEXOLA (Bizkaia)","EUSKO-VILLANUEVA S.L.","Desconocido","Activa","Desconocido","['www.euskotelecom.com']","mediana"
"B02479871","2984942.55","2017","40000","SANCHEZ RUIZ, MANUEL JOSE","4121 - Construcción de edificios residenciales","PLAZA SANTA TERESA DE JESUS JORNET, 5 - PTL 4","administracion@cumanchegas.com","22","Desconocido","2008-11-26","2017-12-31","SOCIEDAD LIMITADA","02002 ALBACETE (Albacete)","CONSTRUCCIONES URBANAS MANCHEGAS 2008 SL","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B03675105","44141559.27","2017","2821014","FUR QUESADA, ENRIQUE JAVIER","4110 - Promoción inmobiliaria","AVENIDA DEL PUERTO, 15","info@marjal.com","18","[966726536]","1991-04-09","2017-12-31","SOCIEDAD LIMITADA","03140 GUARDAMAR DEL SEGURA (Alicante)","SOMIUM PREMIUM PROPERTIES SL.","Desconocido","Activa","[966727184, 966988062]","['www.grupomarjal.com']","pequeña"
"B05238548","1351656.67","2018","3010","BORREGO GAGO, ROSA MARIA","4121 - Construcción de edificios residenciales","PLAZA ESPAÑA, 13","info@rocavila.es","32","Desconocido","2013-03-20","2018-12-31","SOCIEDAD LIMITADA","05114 VILLANUEVA DE AVILA (Ávila)","CONSTRUCCIONES INTEGRALES ABULENSES SL.","Desconocido","Activa","[920276432]","['www.rocavila.es']","pequeña"
"B06201404","4204574.56","2018","6000","MAESTRE PRIETO, EMILIO","4321 - Instalaciones eléctricas","POLIGONO INDUSTRIAL LOS CAÑOS, 60 - 61","moelme@moelme.es","0","[924555612]","1994-03-09","2018-12-31","SOCIEDAD LIMITADA","06300 ZAFRA (Badajoz)","MOELME MONTAJES ELECTRICOS SL","['MOELME, S.L.']","Concurso","[924555227, 924555929]","['www.moelme.es']","mediana"
"B06215073","487194.92","2018","98567.28","MAYOR REGANA, DIEGO","4121 - Construcción de edificios residenciales","CALLE MARTINEZ, 101","vultimaco@vultimaco.com","13","[924501003]","1994-12-01","2018-12-31","SOCIEDAD LIMITADA","06240 FUENTE DE CANTOS (Badajoz)","CONSTRUCCIONES VULTIMACO SL","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B06285092","44986425.69","2018","70381928","VALORIZA GESTION S A","3600 - Captación, depuración y distribución de agua","CALLE JUAN ESPLANDIU, 11 - 13","amigallon@sacyr.com","331","[917211636]","1998-05-21","2018-12-31","SOCIEDAD LIMITADA","28007 MADRID (Madrid)","SACYR AGUA SL.","Desconocido","Activa","[915455000, 915455391]","Desconocido","grande"
"B08284002","30092173.08","2018","250021.04","PARES GONZALEZ SL","4121 - Construcción de edificios residenciales","CALLE GRAN VIA CARLES III, 124 - PLT 2","luispares@lpares.com","61","[932521310]","1972-01-14","2018-12-31","SOCIEDAD LIMITADA","08034 BARCELONA (Barcelona)","LUIS PARES SL","Desconocido","Activa","[932523000, 933484752]","['www.luispares.com']","pequeña"
"B08682486","5327415.49","2018","3005.06","IBANEZ GARCIA, JUAN JOSE","4321 - Instalaciones eléctricas","CALLE FINISTERRE, 7","info@emtek.es","43","Desconocido","1981-04-24","2018-12-31","SOCIEDAD LIMITADA","08223 TERRASSA (Barcelona)","ELECTRO MARTEIX SL","Desconocido","Activa","[937834975]","['www.emtek.es']","mediana"
"B08899213","20918679.31","2018","165876","BONGOVERN SL","4652 - Comercio al por mayor de equipos electrónicos y de telecomunicaciones y sus componentes","CALLE SABINO ARANA, 32","info@bitmakers.com","63","[934199227]","1984-03-26","2018-12-31","SOCIEDAD LIMITADA","08028 BARCELONA (Barcelona)","BITMAKERS SL","Desconocido","Activa","[934194343]","['www.bitmakers.com']","mediana"
"B09367988","21635560","2018","4000","MARTIN GOMEZ, SANTIAGO","3516 - Producción de energía eléctrica de origen térmico convencional","CALLE VEINTE DE FEBRERO, 8","Desconocido","12","[947503249]","2000-02-18","2018-12-31","SOCIEDAD LIMITADA","47001 VALLADOLID (Valladolid)","ENERGYWORKS ARANDA SL","Desconocido","Activa","[947503189]","['www.iberdrola.com']","pequeña"
"B11617594","1829122.89","2018","168884.4","MANZANO VILLALBA, FRANCISCO","4121 - Construcción de edificios residenciales","CARRETERA JEREZ-CARTAGENA","manzanoconstruccion@grupomanzano.es","19","[956702601]","1985-07-26","2018-12-31","SOCIEDAD LIMITADA","11630 ARCOS DE LA FRONTERA (Cádiz)","CONSTRUCCIONES FRANCISCO MANZANO SL","Desconocido","Activa","[956701907]","['www.grupomanzano.es']","pequeña"
"B11622172","1336322.24","2017","836000","ALBA CHICA, MANUEL","4211 - Construcción de carreteras y autopistas","CALLE SUDAFRICA, 134","aglomerados@agloand.com","20","[956320954]","1987-01-14","2017-12-31","SOCIEDAD LIMITADA","11408 JEREZ DE LA FRONTERA (Cádiz)","AGLOMERADOS ANDALUCES SL","Desconocido","Activa","[956342836, 956342803]","['www.agloand.com']","pequeña"
"B12693511","62244.15","2017","502000","BECKER CASTILLO, FELIPE","4121 - Construcción de edificios residenciales","CALLE MICHALOVCE, 37 - ENTRESUELO 1","info@estructurasalicates.com","35","Desconocido","2005-09-15","2017-12-31","SOCIEDAD LIMITADA","12540 VILA-REAL (Castellón)","ESTRUCTURAS ALICATES SL","Desconocido","Activa","[964538863]","['www.estructurasalicates.com']","pequeña"
"B12990347","7404116.49","2018","4500","VICENT GIL, JOAQUIN","4122 - Construcción de edificios no residenciales","CALLE TORRALBA DEL PINAR, 16","cyrespa@cyrespa.es","12","Desconocido","2017-06-12","2018-12-31","SOCIEDAD LIMITADA","12003 CASTELLON PLANA/CASTELLO PLANA (Castellón)","CYROS CONSTRUCCION SOSTENIBLE SOCIEDAD LIMITADA.","Desconocido","Activa","[964220598]","['www.cyros.es']","pequeña"
"B14834006","5920564.11","2018","189501","CABELLO MONTES, JOAQUIN","4121 - Construcción de edificios residenciales","CALLE ORGANIZACION NACIONAL CIEGOS ESPAÑOLES, 33","contabilidad@cccabello.com","35","[957512118]","2008-04-14","2018-12-31","SOCIEDAD LIMITADA","14900 LUCENA (Córdoba)","CONSTRUCCIONES Y CONTRATAS CABELLO SL","Desconocido","Activa","[957511420]","Desconocido","pequeña"
"B15009533","15977025.08","2018","604996.65","GOMEZ NOVOA, FRANCISCO","4211 - Construcción de carreteras y autopistas","LUGAR DA MINA, S/N","admon@fgomez.es","120","[981517291]","1958-12-06","2018-12-31","SOCIEDAD LIMITADA","15822 TOURO (La Coruña)","FRANCISCO GOMEZ Y CIA SL","Desconocido","Activa","[981517318]","['www.fgomez.es']","mediana"
