"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A08527459","2914501","2018","120200","VILLARROYA ALONSO, LUIS","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE MONTCLAR, NAV 25","catalunya@eptisa.com","63","[933624591]","1978-06-26","2018-12-31","SOCIEDAD ANONIMA","08290 CERDANYOLA DEL VALLES (Barcelona)","EPTISA ENGINYERIA I SERVEIS SA","['EPTISA, ENGINYERIA Y SERVEIS, S. A. U.']","Activa","[933624590, 915949500]","['www.eptisa.com']","mediana"
"A08680761","7725951.78","2018","150249.99","RIBA VENDRELL, JOSE","4121 - Construcción de edificios residenciales","CARRETERA BERGA, S/N","viscola@viscola.com","21","[938391255]","1981-04-01","2018-12-31","SOCIEDAD ANONIMA","08670 NAVAS (Barcelona)","CONSTRUCCIONS ARIDS I FORMIGONS SA","Desconocido","Activa","[938390945]","['www.viscola.com']","pequeña"
"A08710261","27655000","2014","135227.72","GRAS SAGRERA, JORDI","4321 - Instalaciones eléctricas","CALLE ASTURIES, 8 - 10","abantiamantenimiento@abantia.com","325","[935521620]","1981-10-29","2014-12-31","SOCIEDAD ANONIMA","08830 SANT BOI DE LLOBREGAT (Barcelona)","ABANTIA MANTENIMIENTO SA (EN LIQUIDACION)","Desconocido","Disolución","[944264454, 935521400]","['www.abantia.com']","grande"
"A09349069","6492387.27","2018","601200","ESGUEVA GIL, JOSE AVELINO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CARRETERA NACIONAL I, 112 - Nº15","tae@taesa-gi.com","27","[947508282]","1998-12-30","2018-12-31","SOCIEDAD ANONIMA","09400 ARANDA DE DUERO (Burgos)","INGENIERIA DE PROCESO Y DISEÑO TAESA SA","Desconocido","Activa","[947510624]","['www.taesa-gi.com']","pequeña"
"A09550997","17284209.86","2018","1800000","PASCUAL SANTOS, JESUS","2932 - Fabricación de otros componentes, piezas y accesorios para vehículos de motor","CARRETERA MADRID-IRUN (BURGOS)","ga.comunication@grupoantolin.com","114","Desconocido","2013-11-19","2018-12-31","SOCIEDAD ANONIMA","09059 BURGOS (Burgos)","GRUPO ANTOLIN VALPLAS SA.","Desconocido","Activa","[947477700, 961485565]","['www.grupoantolin.com']","mediana"
"A10005981","6208366.51","2017","2027168","SENDIN GUTIERREZ, PAULINO","4121 - Construcción de edificios residenciales","CALLE LOS ANDES, S/N","info@senpasa.com","70","[927500618]","1973-03-22","2017-12-31","SOCIEDAD ANONIMA","10800 CORIA (Cáceres)","SENDIN PAVIMENTOS Y ABASTECIMIENTOS SA","Desconocido","Activa","[927500275]","['www.senpasa.com']","pequeña"
"A11344827","1523389.93","2017","9562210.5","WOOD TRACEY, ALISON","9319 - Otras actividades deportivas","CALLE ARQUITECTO PABLO CEREZO","marina@alcaidesa.com","13","[956021661]","1994-12-29","2017-12-31","SOCIEDAD ANONIMA","11360 SAN ROQUE (Cádiz)","ALCAIDESA SERVICIOS SA","Desconocido","Activa","[956021660, 956791000, 956763643, 956175368]","['www.alcaidesamarina.com']","pequeña"
"A11613528","11867954.76","2017","8096832","ALBA CHICA, MANUEL","4211 - Construcción de carreteras y autopistas","CALLE SUDAFRICA, 134","manuel@manuelalba.com","94","[956184097]","1982-05-10","2017-12-31","SOCIEDAD ANONIMA","11408 JEREZ DE LA FRONTERA (Cádiz)","MANUEL ALBA SA","Desconocido","Activa","[956304236, 956184097, 956555918, 956030423]","['www.manuelalba.com']","mediana"
"A15032725","8599000","2018","510850","ELECTRONIC TRAFIC SA","4321 - Instalaciones eléctricas","CALLE SEVERINO COBAS (PG IND LA BAGUNDA ), 100","esycsa@grupoetra.com","90","[986253510]","1979-07-17","2018-12-31","SOCIEDAD ANONIMA","36214 VIGO (Pontevedra)","EQUIPOS DE SEÑALIZACION Y CONTROL SA","Desconocido","Activa","[986252433]","['www.grupoetra.com']","mediana"
"A18238030","1479392.67","2018","60101.21","PADIAL GUTIERREZ, JUAN JOSE","4121 - Construcción de edificios residenciales","AVENIDA DE PAMPANEIRA, 15 - BJ","administracion@tuyser.com","15","Desconocido","1990-08-07","2018-12-31","SOCIEDAD ANONIMA","18003 GRANADA (Granada)","TUYSER SA","Desconocido","Activa","[958522467]","['www.constructoratuyser.com']","pequeña"
"A20762233","448707.84","2018","12149313","GOIA LASO, ENEKO","8552 - Educación cultural","PLAZA DE LAS CIGARRERAS, 1","tabakalera@tabakalera.eu","50","[943011312]","2001-12-28","2018-12-31","SOCIEDAD ANONIMA","20012 DONOSTIA/SAN SEBASTIAN (Gipuzkoa)","CENTRO INTERNACIONAL DE CULTURA CONTEMPORANEA SA","Desconocido","Activa","[943118855, 943011311, 943259458, 943508743]","['www.tabakalera.eu']","mediana"
"A20774873","8460726","2018","212930","LOPETEGUI GUAL, JOSE JOAQUIN","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE PORTUETXE, 23 - A - LOCAL B3","lander@landersimulation.com","74","[943218546]","2002-05-01","2018-12-31","SOCIEDAD ANONIMA","20018 DONOSTIA/SAN SEBASTIAN (Gipuzkoa)","LANDER SIMULATION & TRAINING SOLUTIONS SA","Desconocido","Activa","[943217491]","['www.landersimulation.com']","mediana"
"A24026965","2914405.08","2018","219560","FERNANDEZ AURAY, MARIO JOSE","4121 - Construcción de edificios residenciales","CALLE ARENAL, 19 - PLT 2, PTA 8","leycosa@leycosa.es","17","Desconocido","1983-03-05","2018-12-31","SOCIEDAD ANONIMA","28013 MADRID (Madrid)","CONSTRUCTORA LEYCO SA","Desconocido","Activa","[987875527]","['www.leycosa.es']","pequeña"
"A24037079","4359673.67","2018","60101.21","ALONSO GARCIA, VALENTIN","4321 - Instalaciones eléctricas","CALLE VALLE DE FORNELA, 4 - 2ª FASE","noemi@elytesa.es","31","[987211098]","1985-05-28","2018-12-31","SOCIEDAD ANONIMA","24009 LEON (León)","ELYTE LEONESA DE MONTAJES SA","Desconocido","Activa","[987218480]","['www.elytesa.es']","pequeña"
"A26415752","5690618.04","2018","90000","FERNANDEZ RUIZ, JOSE ALBERTO","4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado","CALLE DEL CHOZO, 24 - PISO 1","admon@systemfrost.com","35","[941433511]","2007-01-15","2018-12-31","SOCIEDAD ANONIMA","26006 LOGROÑO (La Rioja)","SYSTEMFROST INGENIERIA Y SERVICIOS SA","Desconocido","Activa","[941433512]","['www.systemfrost.com']","pequeña"
"A28004885","414982000","2018","157332297","PEREZ RODRIGUEZ, FLORENTINO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","AVENIDA PIO XII, 102","infogrupoacs@grupoacs.com","60","[913439224]","1942-10-13","2018-12-31","SOCIEDAD ANONIMA","28036 MADRID (Madrid)","ACS, ACTIVIDADES DE CONSTRUCCION Y SERVICIOS, SA","['ACS']","Activa","[913439200, 913022858, 913834580, 913836127]","['www.grupoacs.com', 'www.dragados.es', 'www.dragados.com', 'www.grupoacs.biz']","grande"
"A28167567","3757162.11","2018","60200","LAREDO GONZALEZ, RAFAEL","4121 - Construcción de edificios residenciales","CALLE LEZAMA, 2","estudios@rutherford.es","25","[915629331]","1980-11-28","2018-12-31","SOCIEDAD ANONIMA","28034 MADRID (Madrid)","RUTHERFORD ESPAÑOLA SA","['RUTHERFORD ESPAÑOLA, S.A.']","Activa","[915626028, 912199400]","['www.rutherford.es']","pequeña"
"A28272474","12139451.81","2018","14922830","CANCER ABOITIZ, JOSE MARIA","7219 - Otra investigación y desarrollo experimental en ciencias naturales y técnicas","AVENIDA ANTONIO ALVAREZ, KM 1","cesvimap@cesvimap.com","120","[920206323]","1988-05-01","2018-12-31","SOCIEDAD ANONIMA","05004 AVILA (Ávila)","CENTRO DE EXPERIMENTACION Y SEGURIDAD VIAL MAPFRE SA","Desconocido","Activa","[920206300, 920206307]","['www.cesvimap.com']","mediana"
"A28628519","4320000","2018","6228000","COMSA CORPORACION DE INFRAESTRUCTURAS SL","4122 - Construcción de edificios no residenciales","CALLE VIRIAT, 47","m.ambiente@comsa.com","5","Desconocido","1980-02-05","2018-12-31","SOCIEDAD ANONIMA","08014 BARCELONA (Barcelona)","COMSA MEDIO AMBIENTE SA","Desconocido","Activa","Desconocido","['www.comsa.com']","pequeña"
"A28670396","306469000","2018","213595500","CORONAS GUINART, JOSE MARIA","5221 - Actividades anexas al transporte terrestre","PASEO DE L'ALBEREDA, 36","comercial@aumar.es","300","[963358801]","1980-11-24","2018-12-31","SOCIEDAD ANONIMA","46023 VALENCIA (Valencia)","AUTOPISTAS AUMAR SOCIEDAD ANONIMA CONCESIONARIA DEL ESTADO","Desconocido","Activa","[963358800, 902200320]","Desconocido","grande"
"A28674968","6264861.39","2017","675000","MARSA CANTERO, GUSTAVO","4121 - Construcción de edificios residenciales","CALLE MUSGO, 2","interurbana@interurbana.com","20","[913980111]","1981-01-02","2017-12-31","SOCIEDAD ANONIMA","28023 MADRID (Madrid)","CONSTRUCTORA INTERURBANA SA","Desconocido","Activa","[913980160, 912199048]","['www.interurbana.com']","pequeña"
"A28780732","6057476.87","2018","180300","MARTINEZ BERNA, JOSE","4211 - Construcción de carreteras y autopistas","CALLE ORSON WELLES, 28 - 1 PLT OFICINA 3","central@chm.es","14","Desconocido","1982-04-14","2018-12-31","SOCIEDAD ANONIMA","29010 MALAGA (Málaga)","PADELSA INFRAESTRUCTURAS SA","Desconocido","Activa","[958467095]","['www.chm.es']","pequeña"
"A30039549","1370615.81","2017","1878757.26","BALLESTA GERMAN, JOSE FRANCISCO","4121 - Construcción de edificios residenciales","PLAZA BEATO ANDRES HIBERNON, 6 - PLT 3","urbamusa@urbamusa.com","26","[968200479]","1980-11-12","2017-12-31","SOCIEDAD ANONIMA","30001 MURCIA (Murcia)","URBANIZADORA MUNICIPAL SA","Desconocido","Activa","[968237631]","['www.urbamusa.com']","pequeña"
"A31039746","105741435","2018","2160000","ACTIVIDADES DE CONSTRUCCION Y REHABILITACION GRUPO GOIALDE SL REPRES PJ ELIZALDE ELIZALDE MIGUEL","4121 - Construcción de edificios residenciales","POLIGONO INDUSTRIAL IRUREGAÑA, 71 - PISO 6º","acr@acr.es","224","[948272850]","1973-05-02","2018-12-31","SOCIEDAD ANONIMA","31195 BERRIOPLANO/BERRIOBEITI (Navarra)","CONSTRUCCIONES ACR SA","['CONSTRUCCIONES ACR, S.A.']","Activa","[948260116, 948260695, 946440100]","['www.acr.es']","grande"
"A33613308","150019213","2018","2239294","GONZALEZ FERNANDEZ, JOSE MARIA","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE ADA BYRON, 220","grupotsk@grupotsk.com","200","[985130960]","1979-03-15","2018-12-31","SOCIEDAD ANONIMA","33394 GIJON (Asturias)","INGENIERIA DE MANUTENCION ASTURIANA SA","Desconocido","Activa","[985131516, 984495989, 984495667, 984495550]","['www.grupotsk.com']","grande"
"A35069251","3207633.99","2017","192320.01","PEREZ GRIJELMO, GONZALO","4321 - Instalaciones eléctricas","CALLE CORRIENTES, 2 - 2","electimet@electrimet.com","15","[928465750]","1983-01-01","2017-12-31","SOCIEDAD ANONIMA","35008 LAS PALMAS DE GRAN CANARIA (Palmas (Las))","ELECTRIMET SA","Desconocido","Concurso","[928465512]","Desconocido","pequeña"
"A35069863","28129953","2018","1140818.2","INVERTUR HELSAN SL","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE CONCEPCION ARENAL, 20 - 2","controlyplanificacion@lopesan.com","127","[928128751]","1983-04-12","2018-12-31","SOCIEDAD ANONIMA","35006 LAS PALMAS DE GRAN CANARIA (Palmas (Las))","LOPESAN ASFALTOS Y CONSTRUCCIONES SA","Desconocido","Activa","[928128750]","['www.lopesanhotelgroup.com']","mediana"
"A35091057","6687807.7","2018","1374240.59","SANCHEZ ROMERO, ENRIQUE","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","AVENIDA DE CANARIAS, 16 - BA","conslp@vvo.es","40","Desconocido","1985-02-01","2018-12-31","SOCIEDAD ANONIMA","35002 LAS PALMAS DE GRAN CANARIA (Palmas (Las))","VVO CONSTRUCCIONES Y PROYECTOS SA","Desconocido","Activa","[928363332, 928363422, 928384958]","['www.vvo.es']","pequeña"
"A36487122","5149126.62","2018","120000","CASTRO SEOANE, FERNANDO","4121 - Construcción de edificios residenciales","POLIGONO INDUSTRIAL A PEDREIRA, 16","info@excanando.es","47","Desconocido","2005-02-15","2018-12-31","SOCIEDAD ANONIMA","36638 MEAÑO (Pontevedra)","EXCANANDO SA","Desconocido","Activa","[986747750]","['www.excanando.es']","pequeña"
"A36663144","19817180.58","2018","60101.21","REY CACHAFEIRO, EUSEBIO","2361 - Fabricación de elementos de hormigón para la construcción","POLIGONO INDUSTRIAL AS GANDARAS, S/N","prosistemas@prosistemas.com","54","[986295221]","1988-07-29","2018-12-31","SOCIEDAD ANONIMA","36475 O PORRIÑO (Pontevedra)","PRODUCTOS Y SISTEMAS APLICADOS SA","Desconocido","Activa","[986203912, 986203701]","['www.prosistemas.com']","mediana"
"A39007083","4649531.51","2018","96881.2","GOMEZ JULIAN, MARIA DEL CARMEN","4121 - Construcción de edificios residenciales","CALLE CONCHA ESPINA, 8 - E BAJO","tamisa@tamisaproyectosyobras.com","29","[942228890]","1967-05-31","2018-12-31","SOCIEDAD ANONIMA","39012 SANTANDER (Cantabria)","TECNICOS ASOCIADOS MINERO INDUSTRIALES SA","['TECNICOS ASOCIADOS MINERO INDUSTRIALES, S.A. (TAMISA)']","Activa","[942228823]","Desconocido","pequeña"
"A39052824","23852000","2018","7893410.31","DIAZ DIAZ, SANTIAGO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","BARRIO LA VENTA (IGOLLO), S/N","grupo.sadisa@sadisa.es","270","[942584209]","1986-01-22","2018-12-31","SOCIEDAD ANONIMA","39608 CAMARGO (Cantabria)","ASCAN EMPRESA CONSTRUCTORA Y DE GESTION SA","Desconocido","Activa","[942580861]","['www.sadisa.es']","grande"
"A39074877","14330991","2018","85208.49","BILEK, PETR","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE ALBERT EINSTEIN, 6","david.llamas@wsp.com","200","[942274613]","1987-08-24","2018-06-30","SOCIEDAD ANONIMA","39011 SANTANDER (Cantabria)","WSP SPAIN-APIA, SOCIEDAD ANONIMA.","['LB DCE LOUIS BERGER DESIGN CENTER OF EXCELLENCE']","Activa","[942290260]","['www.wsp.com']","pequeña"
"A39234968","5478334.85","2018","60101.21","SAIZ NOVOA, MANUEL","4121 - Construcción de edificios residenciales","AVENIDA CAMPOGIRO, 25 - BJ","oficina@construccionesportio.com","13","[942347073]","1989-12-29","2018-12-31","SOCIEDAD ANONIMA","39011 SANTANDER (Cantabria)","CONSTRUCCIONES PORTIO SA","Desconocido","Activa","[942354185]","['www.construccionesportio.com']","pequeña"
"A41215575","5281740.82","2016","66111.33","SANCHEZ ROJAS, JUAN FRANCISCO","4321 - Instalaciones eléctricas","POLIGONO INDUSTRIAL EL PORTAL, 2","oficina@meita.es","33","[956145198]","1987-06-25","2016-12-31","SOCIEDAD ANONIMA","11408 JEREZ DE LA FRONTERA (Cádiz)","MEITA SA (EN LIQUIDACION)","Desconocido","Disolución","[956145198, 956143044, 956145360]","Desconocido","pequeña"
"A41420191","0","2018","2193093","LLAMAS RENGEL, ASUNCION","7111 - Servicios técnicos de arquitectura","AVENIDA LA CONSTITUCION, 24 - 6ª PLANTA","clientesactiva@dipusevilla.es","24","[954293865]","1990-07-25","2018-12-31","SOCIEDAD ANONIMA","41001 SEVILLA (Sevilla)","SEVILLA ACTIVA SA","Desconocido","Activa","[954293850, 954293876, 954293840, 954293864]","['www.dipusevilla.es']","pequeña"
"A41762386","27714000","2018","60110","EPSA INTERNACIONAL SA","4312 - Preparación de terrenos","AVENIDA SAN FRANCISCO JAVIER, 9 - EDIF. SEVILLA 2 - PLT 9ª - MODULO 22-F","info@epsagroup.com","79","[954255813]","1995-11-21","2018-10-31","SOCIEDAD ANONIMA","41018 SEVILLA (Sevilla)","ANDALUZA DE OBRAS Y MINERIA SA","Desconocido","Activa","[916280126]","Desconocido","mediana"
"A43123975","3439314.63","2018","60110","CAMPILLAY FABIAN, ALEJANDRO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE D'APODACA, 7 - ENTLO 1º","cestivill@controlunion.com","25","[977215044]","1988-05-18","2018-12-31","SOCIEDAD ANONIMA","43004 TARRAGONA (Tarragona)","CU WG SPAIN SA","Desconocido","Activa","[977215004, 977215044]","Desconocido","pequeña"
"A45007515","17833916.29","2018","601000","GARCIA CARRASCOSO, MIGUEL ANGEL","4211 - Construcción de carreteras y autopistas","CALLE MARQUES DE MENDIGORRIA, 3","contabilidad@construccioneslozoya.es","100","[925224308]","1975-02-12","2018-12-31","SOCIEDAD ANONIMA","45003 TOLEDO (Toledo)","CONSTRUCCIONES ANTOLIN GARCIA LOZOYA SA","Desconocido","Activa","[925220600]","['www.grupolozoya.es']","mediana"
"A47010095","13975183","2018","1039558","INVERSIONES CASTILLA 2000 SL","4211 - Construcción de carreteras y autopistas","AVENIDA RAMON PRADERA, 14","zarzuela@zarzuelasa.es","54","[983374789]","1973-12-22","2018-12-31","SOCIEDAD ANONIMA","47009 VALLADOLID (Valladolid)","ZARZUELA SOCIEDAD ANONIMA EMPRESA CONSTRUCTORA","Desconocido","Activa","[983359600]","['www.zarzuelasa.com']","mediana"
"A48022461","59504000","2018","6184906","BONILLA BECKMANN, JORGE ANGEL","3600 - Captación, depuración y distribución de agua","CALLE IBARREKOLANDA, 19","ione.allende@suez.com","365","[944763804]","1954-07-06","2018-12-31","SOCIEDAD ANONIMA","48015 BILBAO (Bizkaia)","SUEZ TREATMENT SOLUTIONS SOCIEDAD ANONIMA.","Desconocido","Activa","[944763800]","['www.degremont.es', 'www.suez.com']","grande"
"A48037592","15300000","2017","9204008.1","PELTIER MANUEL, CLAUDE","4213 - Construcción de puentes y túneles","CALLE MELCHOR FERNANDEZ ALMAGRO, 23","correo@freyssinet-es.com","150","[913239511]","1974-02-18","2017-12-31","SOCIEDAD ANONIMA","28029 MADRID (Madrid)","FREYSSINET SA","Desconocido","Activa","[913239550]","['www.freyssinet.com']","mediana"
"A48252613","6925004","2018","66111","CARRASCO ELGUEZABAL, FERNANDO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE ALDAPA, 9 - 13","ingenieria@fulcrum.es","80","Desconocido","1988-02-24","2018-12-31","SOCIEDAD ANONIMA","48940 LEIOA (Bizkaia)","FULCRUM PLANIFICACION ANALISIS Y PROYECTO SOCIEDAD ANONIMA","Desconocido","Activa","[944807027]","['www.fulcrum.es']","mediana"
"A48290258","133460197","2018","2049285","FLORES MAZAS, CARLOS","4122 - Construcción de edificios no residenciales","AVENIDA SABINO ARANA, 20 - 3ª Y 8ª PLANTA","balzola@balzola.com","577","[944276972]","1989-02-24","2018-12-31","SOCIEDAD ANONIMA","48013 BILBAO (Bizkaia)","CONSTRUCCIONES Y PROMOCIONES BALZOLA SOCIEDAD ANONIMA","Desconocido","Activa","[944276958, 913457096, 944271797, 944411407]","['www.balzola.com']","grande"
"A57302267","4463308.68","2018","100000","API MOVILIDAD SA","4211 - Construcción de carreteras y autopistas","CALLE GERRERS, 39 - NAVES 26 Y 27","gerencia.viabal@imesapi.es","12","[971431972]","2004-10-13","2018-12-31","SOCIEDAD ANONIMA","07141 MARRATXI (Baleares)","VIABAL MANTENIMENT I CONSERVACIO SA","Desconocido","Activa","[971431163]","['www.imesapi.es']","pequeña"
"A58132606","865314.89","2018","60460.6","MUÑOZ HERNANDEZ, JOSE MANUEL","4121 - Construcción de edificios residenciales","CARRETERA ESPLUGUES, 120 - 122 1 1","magran@nargam.es","10","[933777177]","1986-02-27","2018-12-31","SOCIEDAD ANONIMA","08940 CORNELLA DE LLOBREGAT (Barcelona)","CONSTRUCCIONES MAGRAN SA","Desconocido","Activa","[933777052]","Desconocido","pequeña"
"A58574468","11378259.9","2018","500000","CASTRO NUÑEZ, MANUEL","4122 - Construcción de edificios no residenciales","AVENIDA MARQUES DE CASTELLBELL, 11","ponte-arosa@ponte-arosa.com","41","[933572545]","1988-11-15","2018-12-31","SOCIEDAD ANONIMA","08032 BARCELONA (Barcelona)","CONSTRUCCIONES PONTE AROSA SA","Desconocido","Activa","[934292770, 934296445]","['www.ponte-arosa.com']","pequeña"
"A58596206","12431000","2018","540910","COMSA EMTE SL REPR 143 RRM MIARNAU MONTSERRAT JORGE","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE IGNASI IGLESIAS, 217 - 219","adasa@adasasistemas.com","126","[932640656]","1988-12-19","2018-12-31","SOCIEDAD ANONIMA","08820 EL PRAT DE LLOBREGAT (Barcelona)","ADASA SISTEMAS SA","['ADASA SISTEMAS, S.A.']","Activa","[932640602]","['www.adasasistemas.com']","mediana"
"A58623141","9137000","2016","321415.26","Desconocido","6209 - Otros servicios relacionados con las tecnologías de la información y la informática","CALLE TANGER, 98 - ESC B 6º PLANTA","alg@alg-global.com","74","[933630623]","1988-12-30","2016-12-31","SOCIEDAD ANONIMA","08018 BARCELONA (Barcelona)","ADVANCED LOGISTICS GROUP SA (EXTINGUIDA)","Desconocido","Extinción","[933630377, 934304016, 914807208, 934191695]","['www.alg-global.com']","mediana"
"A61126629","41342821.99","2018","2000000","CERTIS CORP SL REPR.143 RRM BLAZQUEZ MARTINEZ RAMON","4121 - Construcción de edificios residenciales","CARRETERA BARCELONA PUIGCERDA, KM. 49,446","certis@certis.cat","85","[938891482]","1996-05-17","2018-12-31","SOCIEDAD ANONIMA","08550 BALENYA (Barcelona)","CERTIS OBRES I SERVEIS SA","Desconocido","Activa","[938890370]","['www.certis.cat']","mediana"
"A61236246","4712500.72","2018","601010","BELMONTE SANCHEZ, ANTONIO FRANCISCO","4121 - Construcción de edificios residenciales","CALLE SANTALO, 10","info@sacyr.com","20","Desconocido","1996-11-12","2018-12-31","SOCIEDAD ANONIMA","08021 BARCELONA (Barcelona)","SCRINSER SA","Desconocido","Activa","[934441360]","['www.sacyr.com']","pequeña"
"A62541164","29980535.36","2018","7710000.01","FOMENTO DE CONSTRUCCIONES Y CONTRATAS SA","3821 - Tratamiento y eliminación de residuos no peligrosos","POLIGONO INDUSTRIAL CAN SALVATELLA - TORRE MATEU","jmpallas@urbaser.com","140","[937192826]","2001-03-29","2018-12-31","SOCIEDAD ANONIMA","08210 BARBERA DEL VALLES (Barcelona)","ECOPARC DEL BESOS SA","Desconocido","Activa","[937192888, 932156442, 932787600]","Desconocido","mediana"
