"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A28203321","31760435","2018","2404040","COBRA INSTALACIONES Y SERVICIOS SA REPRES PJ HIDALGO GONZALEZ JAVIER","4121 - Construcción de edificios residenciales","CALLE CARDENAL MARCELO SPINOLA, 10","cih@grupocobra.com","60","[914569477]","1967-07-14","2018-12-31","SOCIEDAD ANONIMA","28016 MADRID (Madrid)","COBRA INFRAESTRUCTURAS HIDRAULICAS SA","Desconocido","Activa","[914569500]","['www.grupocobra.com']","mediana"
"A28411122","2292608.81","2018","146400.01","GONZALEZ BARRIOS, JOSE MANUEL","4321 - Instalaciones eléctricas","CALLE PUERTO RICO, 10","nelectra@nelectra.com","22","[915197979]","1975-12-22","2018-12-31","SOCIEDAD ANONIMA","28016 MADRID (Madrid)","NELECTRA SA","Desconocido","Activa","[915197906]","['www.nelectra.com']","pequeña"
"A28469625","40619138.08","2018","2970000","LLEDO PICATOSTE, JOSE","4647 - Comercio al por mayor de muebles, alfombras y aparatos de iluminación","CARRETERA DE VILLAVICIOSA (C-5114)","info@lledosa.es","171","[916149454]","1977-03-30","2018-12-31","SOCIEDAD ANONIMA","28935 MOSTOLES (Madrid)","LLEDO ILUMINACION SA","['LLEDO ILUMINACION, S.A.', 'LLEDO']","Activa","[916656180, 916143329, 916656193, 902760104]","['www.lledosa.com']","mediana"
"A28729424","12885621.52","2018","421400","MAROÑAS SANTOS, JUAN JOSE","4312 - Preparación de terrenos","CALLE DEL ALTO DE LA CAMORCHA, 2 - LOC 1","administracion@mamahesa.com","10","Desconocido","1981-11-30","2018-12-31","SOCIEDAD ANONIMA","28770 COLMENAR VIEJO (Madrid)","MARIANO MAROÑAS HERNAN SA","Desconocido","Activa","[918455713]","Desconocido","pequeña"
"A28854727","1157950000","2018","220000000","COLIO ABRIL, PABLO","4211 - Construcción de carreteras y autopistas","CALLE BALMES, 36 - 7","fcco@fcc.es","2626","[915141012]","1983-07-22","2018-12-31","SOCIEDAD ANONIMA","08007 BARCELONA (Barcelona)","FCC CONSTRUCCION SA","Desconocido","Activa","[913595400, 934964900, 934102087, 915141000]","['www.fccco.es', 'www.fcc.es']","grande"
"A28982429","2402831.73","2018","60200","JUNQUERA MATA, HERMINIA","4399 - Otras actividades de construcción especializada n.c.o.p.","AVENIDA ALBERTO ALCOCER, 39","administracion@eama.es","18","Desconocido","1984-11-22","2018-12-31","SOCIEDAD ANONIMA","28016 MADRID (Madrid)","EAMA SA","Desconocido","Activa","[913452200]","['www.eama.es']","pequeña"
"A30069488","2821088.91","2016","60000","SALINAS MATURANA, MARIA JESUS","4121 - Construcción de edificios residenciales","CALLE PRESBITERO EMILIO GARCIA, 7 - ED BRUSELAS","Desconocido","15","[968461671]","1984-02-17","2016-12-31","SOCIEDAD ANONIMA","30800 LORCA (Murcia)","CONSTRUCCIONES MARTIN CARRILLO SA","Desconocido","Ilocalizable según nuestras fuentes","[968461625, 868922580]","['www.martincarrillo.es']","pequeña"
"A30606842","3481259.16","2018","1646601","SALVADOR SOLER, MANUEL","4211 - Construcción de carreteras y autopistas","CALLE GENERAL PRIMO DE RIVERA, 11 - PISO 3 D","info@roveralcisa.com","12","[914444481]","1977-11-18","2018-12-31","SOCIEDAD ANONIMA","10001 CACERES (Cáceres)","CONSTRURED OBRAS Y SERVICIOS SA","Desconocido","Activa","[914444480]","['www.roveralcisa.com']","mediana"
"A31083009","69301000","2018","496101.46","BALLARIN BIBIAN, JOSE","4122 - Construcción de edificios no residenciales","CALLE REMIRO DE GOÑI, 38 - BJ","info@obrasespeciales.com","147","Desconocido","1979-06-27","2018-12-31","SOCIEDAD ANONIMA","31010 PAMPLONA/IRUÑA (Navarra)","OBRAS ESPECIALES EDIFICACION E INFRAESTRUCTURAS SA.","Desconocido","Activa","[948187707]","['www.obrasespeciales.com']","grande"
"A32032039","22583748.17","2018","3600000","RODRIGUEZ GARCIA, FRANCISCO","4121 - Construcción de edificios residenciales","LUGAR O PEREIRO DE AGUIAR, 30 - PQ. EMPRESARIAL","administracion@proyecon.com","99","[988519418]","1988-03-29","2018-12-31","SOCIEDAD ANONIMA","32710 O PEREIRO DE AGUIAR (Orense)","PROYECON GALICIA SA","['PROYECON GALICIA, S.A.']","Activa","[988519414]","['www.proyecon.com']","mediana"
"A33009960","7059204.78","2018","60460.6","URQUIOLA PERMISAN, MARIA DEL CARMEN","4122 - Construcción de edificios no residenciales","CALLE URIA, 44 - 6º","convasa@convasa.es","9","[985213455]","1967-02-01","2018-12-31","SOCIEDAD ANONIMA","33003 OVIEDO (Asturias)","CONVASA CONSTRUCCION E INTERIORISMO SA","Desconocido","Activa","[985212700]","['www.convasa.es']","pequeña"
"A33684309","140711947","2018","9549700","CUESTA GUTIERREZ, ALBERTO","4321 - Instalaciones eléctricas","POLIGONO INDUSTRIAL SILVOTA, PARC. 63","isotron@isastur.com","258","[985260275]","1989-06-09","2018-12-31","SOCIEDAD ANONIMA","33424 LLANERA (Asturias)","ISOTRON SAU","Desconocido","Activa","[985980104, 985334888]","['www.isastur.com']","grande"
"A34028068","1473848.6","2018","60101.21","ROMAN SANCHEZ, NICOLAS","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE BECERRO DE BENGOA, 3 - 1 A","palencia@nirosa.es","25","[979706178]","1986-05-20","2018-12-31","SOCIEDAD ANONIMA","34001 PALENCIA (Palencia)","NIROSA INGENIERIA SA","Desconocido","Activa","[979706084]","['www.nirosa.es']","pequeña"
"A35679356","21662119.59","2018","1200000","MORALES FERNANDEZ, MIGUEL","4121 - Construcción de edificios residenciales","URBANIZACION GERANIOS","lmartin@hormiconsa.es","145","[928800425]","2001-09-21","2018-12-31","SOCIEDAD ANONIMA","35500 ARRECIFE (Palmas (Las))","HORMICONSA CANARIAS SOCIEDAD ANONIMA","Desconocido","Activa","[928800001]","['www.hormiconsa.es']","mediana"
"A36029239","3362842.57","2018","90151.82","COVELO SOTO, LAUREANO","4121 - Construcción de edificios residenciales","LUGAR ARNOSO, S/N","covelo@laureanocovelo.com","26","Desconocido","1985-08-21","2018-12-31","SOCIEDAD ANONIMA","36860 PONTEAREAS (Pontevedra)","EXCAVACIONES Y CONSTRUCCIONES LAUREANO COVELO SA","Desconocido","Activa","[986644003]","['www.laureanocovelo.com']","pequeña"
"A38259115","8484441.7","2018","27816083","ALONSO RODRIGUEZ, CARLOS","3519 - Producción de energía eléctrica de otros tipos","POLIGONO INDUSTRIAL GRANADILLA, S/N","iter@iter.es","117","[922747701]","1990-12-27","2018-12-31","SOCIEDAD ANONIMA","38600 GRANADILLA DE ABONA (Tenerife)","INSTITUTO TECNOLOGICO Y DE ENERGIAS RENOVABLES SA","Desconocido","Activa","[922747700]","['www.iter.es']","mediana"
"A38279972","26465987.58","2018","1102252.34","VALBUENA ALONSO, JOSE ANTONIO","7111 - Servicios técnicos de arquitectura","CALLE LEON Y CASTILLO, 54","gesplan@gesplan.es","617","Desconocido","1991-11-19","2018-12-31","SOCIEDAD ANONIMA","35003 LAS PALMAS DE GRAN CANARIA (Palmas (Las))","GESTION Y PLANEAMIENTO TERRITORIAL Y MEDIOAMBIENTAL SA","Desconocido","Activa","[928301150, 922887887]","['www.gesplan.es']","mediana"
"A41017773","4941707.5","2018","165275","URBANO DEL CASTILLO, CARLOS","4669 - Comercio al por mayor de otra maquinaria y equipo","AVENIDA MONTES SIERRA, 9","administracion@gomezmaqueda.com","33","[954676925]","1967-06-27","2018-12-31","SOCIEDAD ANONIMA","41007 SEVILLA (Sevilla)","GOMEZ MAQUEDA SA","Desconocido","Activa","[954998230]","['www.gomezmaqueda.com']","pequeña"
"A41261983","1547800.58","2017","5412000","BARROSO SANCHEZ, JOSE BENITO","6820 - Alquiler de bienes inmobiliarios por cuenta propia","CALLE SEVILLA, 21 - 1º","inmuvisa@telefonica.net","91","[955975072]","1988-07-14","2017-12-31","SOCIEDAD ANONIMA","41740 LEBRIJA (Sevilla)","INMUVISA INICIATIVA MUNICIPAL PARA LA VIVIENDA SA","Desconocido","Activa","[955974550, 955974525]","['www.lebrija.es']","mediana"
"A41626672","59917553","2018","3400000","PUERTO DE VISTA ALEGRE SOCIEDAD LIMITADA","2511 - Fabricación de estructuras metálicas y sus componentes","CARRETERA DE LA ESCLUSA, S/N","ditecsa@grupoditecsa.com","942","[954680062]","1993-11-05","2018-12-31","SOCIEDAD ANONIMA","41011 SEVILLA (Sevilla)","DISEÑOS Y PROYECTOS TECNICOS SA","Desconocido","Finalización del concurso","[954680909, 954870094, 954870095, 959371805]","['www.grupoditecsa.com']","grande"
"A43017854","8792081","2018","210350","VILLENA CONTRERAS, LUIS","4211 - Construcción de carreteras y autopistas","CARRETERA NACIONAL 340","aficsa@aficsa.com","27","[977394297]","1973-04-09","2018-12-31","SOCIEDAD ANONIMA","43480 VILA-SECA (Tarragona)","AUXILIAR DE FIRMES Y CARRETERAS SOCIEDAD ANONIMA","Desconocido","Activa","[973706100, 977394295, 934463850, 973706102]","['www.gruposorigue.com']","pequeña"
"A43795442","10518463.8","2018","60300","TORNE SANS, JOSEP MARIA","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE DEL CARBO, PARCELAS 84-86 NAVES 6 Y 11","info@gicsacons.com","18","[977627791]","2005-03-03","2018-12-31","SOCIEDAD ANONIMA","43006 TARRAGONA (Tarragona)","GESTION INGENIERIA Y CONSTRUCCION DE LA COSTA DORADA SOCIEDAD ANONIMA","Desconocido","Activa","[977627717]","['www.gicsacons.com']","pequeña"
"A45589595","28323996.98","2018","2480000","ABAD ORTIZ, TEODORO JESUS","4211 - Construcción de carreteras y autopistas","AVENIDA EUROPA, 34 - EDIF. B PISO 1 IZ","abaldo@abaldo.es","50","[913518899]","2005-04-12","2018-12-31","SOCIEDAD ANONIMA","28023 MADRID (Madrid)","COMPAÑIA GENERAL DE CONSTRUCCION ABALDO SA","Desconocido","Activa","[913521855]","['www.abaldo.es']","mediana"
"A48048581","4857032.05","2018","60101.21","BENITO DE VALLE VILLALBA, AFRICA","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","ALAMEDA URQUIJO, 28 - 6º","ingenieria@inecosa.com","54","[944437358]","1967-09-06","2018-12-31","SOCIEDAD ANONIMA","48010 BILBAO (Bizkaia)","INGENIERIA ESTUDIOS Y CONSTRUCCIONES SA","Desconocido","Activa","[944701911, 944221703, 944437358]","['www.inecosa.com']","mediana"
"A48116420","9177877.73","2018","456436.4","MENENDEZ DE LUARCA BELLIDO, RAMON","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE SIRIO, 14 - PISO 10 C","ggalmuzara@eia21.com","167","Desconocido","1979-04-28","2018-12-31","SOCIEDAD ANONIMA","28007 MADRID (Madrid)","ESTUDIOS E INGENIERIA APLICADA XXI SOCIEDAD ANONIMA","Desconocido","Activa","[944645157]","['www.eia21.com']","mediana"
"A50032036","5137537.44","2018","3116185","CARRERAS CALVETE, MIGUEL VALENTIN","4110 - Promoción inmobiliaria","AVENIDA CESAR AUGUSTO, 27 - LOCAL","piliperun@eizasa.com","17","[976405381]","1974-12-30","2018-12-31","SOCIEDAD ANONIMA","50004 ZARAGOZA (Zaragoza)","EXPLOTACIONES INMOBILIARIAS ZARAGOZANAS SA","Desconocido","Activa","[976405380]","['www.eizasa.com']","pequeña"
"A50070663","6258628.29","2018","60110","RUBIO PEINADO, GEMA","4121 - Construcción de edificios residenciales","CALLE ALEJANDRO OLIVAN, 20 - 22","info@rubiomorte.com","45","Desconocido","1982-02-16","2018-12-31","SOCIEDAD ANONIMA","50011 ZARAGOZA (Zaragoza)","CONSTRUCCIONES RUBIO MORTE SA","Desconocido","Activa","[976230033, 876547791]","['www.rubiomorte.com']","pequeña"
"A50174481","48132148.13","2018","100000","VIA MORANA SL","4121 - Construcción de edificios residenciales","CALLE MONASTERIO DE LAS DESCALZAS REALES, 26","lobe@grupolobe.com","82","Desconocido","1987-02-09","2018-12-31","SOCIEDAD ANONIMA","50014 ZARAGOZA (Zaragoza)","CONSTRUCCIONES LOBE SA","Desconocido","Activa","[976734142, 976189669, 876280378, 876550610]","['www.construccioneslobe.es', 'www.grupolobe.com']","mediana"
"A57277709","11104781.96","2017","19650000","MASCARO MARTORELL, JAUME","5221 - Actividades anexas al transporte terrestre","CARRETERA MA-15","fjariza@sacyr.com","20","[971644249]","2004-05-21","2017-12-31","SOCIEDAD ANONIMA","07210 ALGAIDA (Baleares)","CARRETERA PALMA-MANACOR, CONCESSIONARIA DEL CONSELL INSULAR DE MALLORCA, SA","Desconocido","Activa","[971644104]","Desconocido","pequeña"
"A58770215","5904166.96","2018","60101.21","LICERAN CAÑADELL, ANGEL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE JOSEP PLA, 163 - 2º 8ª","tectrol@tectrol.es","80","Desconocido","1988-09-16","2018-12-31","SOCIEDAD ANONIMA","08020 BARCELONA (Barcelona)","TECTROL SA","Desconocido","Activa","[932662224, 932502263, 932692399]","['www.tectrol.es']","mediana"
"A60514643","28919607.03","2018","60110","GRACO 75 SL REPR 143 RRM CODINACHS ALSINA RAMON","4121 - Construcción de edificios residenciales","CALLE COLL I PUJOL, 172","construccions@oic-penta.com","50","[934607511]","1994-03-03","2018-12-31","SOCIEDAD ANONIMA","08917 BADALONA (Barcelona)","OBRES I CONTRACTES PENTA SA","Desconocido","Activa","[934607510]","['www.oicpenta.es']","pequeña"
"A62890827","602057000","2018","319488531","REYNES MASSANET, FRANCISCO MIGUEL","5229 - Otras actividades anexas al transporte","LUGAR PARC LOGISTIC DE LA ZONA FRANCA, 12 - 20","autopistas@autopistas.com","613","[932305201]","2002-05-30","2018-12-31","SOCIEDAD ANONIMA","08040 BARCELONA (Barcelona)","AUTOPISTAS CONCESIONARIA ESPAÑOLA SA","Desconocido","Activa","[932305000, 932305020]","['www.autopistas.com']","grande"
"A63263388","36606000","2018","38902000","SERRA MASIP, RAMON","4121 - Construcción de edificios residenciales","AVENIDA CARRILET, 3 - EDIF. D, PLANTA 11-A","urbicsa@urbicsa.es","11","[934234161]","2003-08-05","2018-12-31","SOCIEDAD ANONIMA","08902 L'HOSPITALET DE LLOBREGAT (Barcelona)","URBS IUDEX ET CAUSIDICUS SA","Desconocido","Activa","[932890160, 900101803, 937609674, 932973497]","['www.ciutatdelajusticia.com']","pequeña"
"A63414486","8913762","2016","51435000","ARRAUT Y SALA REIXACHS SLP","4212 - Construcción de vías férreas de superficie y subterráneas","CARRETERA HOSTALETS","info@tpferro.com","84","[972514530]","2004-01-29","2016-12-31","SOCIEDAD ANONIMA","17730 LLERS (Gerona)","TP FERRO CONCESIONARIA SA (EN LIQUIDACION)","Desconocido","Disolución","[972522400, 972678800, 872004865]","['www.tpferro.com']","mediana"
"A63856645","24597000","2018","6400000","GRUPO COPISA INFRAESTRUCTURAS Y MANTENIMIENTOS SL REPR 143 RRM DE PORRATA DORIA BOTEY ORLANDO","4339 - Otras actividades de acabado de edificios","PLAZA EUROPA, 2 - 4  TORRE COPISA","copisaindustrial@copisaindustrial.com","437","[935525501]","2005-05-13","2018-12-31","SOCIEDAD ANONIMA","08902 L'HOSPITALET DE LLOBREGAT (Barcelona)","CPI INDUSTRIAL ENGINEERING S.A.","Desconocido","Activa","[935525500, 934930100]","['www.grupocopisa.com']","grande"
"A78068202","27890000","2018","2029000","APPLUS SERVICIOS TECNOLOGICOS SL REPRES PJ MAYOR BALVIS JULIAN","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE CAMPEZO, 1","serviciofinanciero@applus.com","536","[915106024]","1985-08-09","2018-12-31","SOCIEDAD ANONIMA","28022 MADRID (Madrid)","NOVOTEC CONSULTORES SA","Desconocido","Activa","[915107124, 981014500, 934150315]","['www.novotec.es']","grande"
"A78207545","4180274.99","2018","920000","TORO DOMINGUEZ, JUAN ANTONIO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE FUENCARRAL, 45 - 5º PLANTA","diseprosa@diseprosa.com","46","[915317060]","1986-03-04","2018-12-31","SOCIEDAD ANONIMA","28004 MADRID (Madrid)","DISEÑOS Y PROYECTOS REUNIDOS, SOCIEDAD ANONIMA","Desconocido","Activa","[915310606, 911707435]","['www.diseprosa.com']","mediana"
"A78779550","14371000","2018","1000000","KARLSSON JOAKIM, ROBERT GOESTA","4329 - Otras instalaciones en obras de construcción","POLIGONO INDUSTRIAL CARRALERO, PAR 3","envac@envac.es","132","[914570316]","1988-03-09","2018-12-31","SOCIEDAD ANONIMA","28220 MAJADAHONDA (Madrid)","ENVAC IBERIA SA","Desconocido","Activa","[914570611]","['www.envac.es']","mediana"
"A78931581","36209176","2018","1262100","VIAS Y CONSTRUCCIONES SA","4321 - Instalaciones eléctricas","AVENIDA BRASIL, 6 - PLT 2 A","fnunez@electren.com","219","[915354339]","1988-11-08","2018-12-31","SOCIEDAD ANONIMA","28020 MADRID (Madrid)","ELECTREN SA","Desconocido","Activa","[915548207]","['www.electren.com']","mediana"
"A79115465","13398018.45","2018","1172952","EVYTA ASESORES SL REPRES PJ TARRIO PRADA JULIO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE LOPEZ PUIGCERVER, 24","adiantetec@adiantetec.com","29","[915641702]","1989-04-06","2018-12-31","SOCIEDAD ANONIMA","28035 MADRID (Madrid)","ADIANTE TECNOLOGIA INGENIERIA Y SERVICIOS SOCIEDAD ANONIMA.","Desconocido","Activa","[917670844, 810520921]","['www.adiantetec.com']","pequeña"
"A79253803","7500523.59","2018","4458930","PARADINAS MARQUEZ, MIGUEL ANGEL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE MAGALLANES, 3 - PLT 4","iber@iberespacio.es","130","[914451764]","1989-09-29","2018-12-31","SOCIEDAD ANONIMA","28015 MADRID (Madrid)","IBERICA DEL ESPACIO SA","Desconocido","Activa","[914441500, 913098000]","['www.iberespacio.es']","mediana"
